Department,CCG,Date,Expense Area,Expense Type,Suppklier,Transaction Number,Amount
Department of Health,NHS Tower Hamlets CCG,9/30/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,BLITHEHALE MEDICAL CENTRE,33956397,-622
Department of Health,NHS Tower Hamlets CCG,9/30/2020,ME - GMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,CHRISP STREET HEALTH CENTRE,33956399,-373.91
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,BARKANTINE PRACTICE,33818069,-167.3
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,CHRISP STREET HEALTH CENTRE,33956399,-107.56
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,BLITHEHALE MEDICAL CENTRE,33956397,-106.08
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,GLOBETOWN SURGERY,33956408,-104.86
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,ABERFELDY STREET PRACTICE,33956392,-65.76
Department of Health,NHS Tower Hamlets CCG,9/30/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,BARKANTINE PRACTICE,33818069,-25.12
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,RUSTON STREET CLINIC,33956424,2.3
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR N SELVAN,33956405,6.91
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,RUSTON STREET CLINIC,33956424,9.06
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,GROVE ROAD SURGERY,33956415,13.82
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,HARLEY GROVE MEDICAL CENTRE,33956413,15.46
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,CITY WELLBEING PRACTICE,33956401,16.12
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,HARLEY GROVE MEDICAL CENTRE,33956413,16.12
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,ABERFELDY STREET PRACTICE,33956393,23.03
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,GROVE ROAD SURGERY,33956415,23.72
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR N SELVAN,33956405,33.71
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,ALBION HEALTH CENTRE,33956396,34.55
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DOCKLANDS MEDICAL CENTRE LONDON,33956403,36.85
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,ISLAND MEDICAL CENTRE,33843654,37.17
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR N SELVAN,33956405,50.53
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,LIMEHOUSE PRACTICE,33956420,55.27
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,MISSION PRACTICE,33956422,57.57
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-APMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,BARKANTINE PRACTICE,33818070,66.96
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CITY WELLBEING PRACTICE,33956401,75.81
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,ABERFELDY STREET PRACTICE,33956393,78.76
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,ST PAULS WAY MEDICAL CENTRE,33818084,86.68
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-APMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,BARKANTINE PRACTICE,33818070,101.48
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,DR N SELVAN,33956405,104.28
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DOCKLANDS MEDICAL CENTRE LONDON,33956403,110.06
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,MISSION PRACTICE,33956422,121.86
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,LIMEHOUSE PRACTICE,33956420,123.14
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Post Graduate Loan Payable,BALANCE SHEET,HMRC,33877511,134
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,LIMEHOUSE PRACTICE,33956420,139.92
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,BLITHEHALE MEDICAL CENTRE,33956398,140
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,XX PLACE,33956439,140
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,CHRISP STREET HEALTH CENTRE,33975293,145.11
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,JUBILEE STREET PRACTICE,33975291,152
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-APMS Prem Other,PRC DELEGATED CO-COMMISSIONING,POLLARD ROW SURGERY,33818074,169.16
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,BLITHEHALE MEDICAL CENTRE,33956398,189.79
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,LIMEHOUSE PRACTICE,33956420,266.41
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,ALBION HEALTH CENTRE,33956396,288.38
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Other Addtl Staff Paymts,PRC DELEGATED CO-COMMISSIONING,STROUTS PLACE MEDICAL CENTRE,33975290,345.92
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS PCN DES Clin Pharmacist,PRC DELEGATED CO-COMMISSIONING,DR N SELVAN,33956405,353.34
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Prem Other,PRC DELEGATED CO-COMMISSIONING,ALBION HEALTH CENTRE,33956396,392.5
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,STROUTS PLACE MEDICAL CENTRE,33975290,409.02
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-APMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,POLLARD ROW SURGERY,33818074,432.35
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,CITY WELLBEING PRACTICE,33956401,439.97
Department of Health,NHS Tower Hamlets CCG,9/30/2020,ME-GMS GP Pension AVCs,PRC DELEGATED CO-COMMISSIONING,JUBILEE STREET PRACTICE,33975291,458.11
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Other Addtl Staff Paymts,PRC DELEGATED CO-COMMISSIONING,ISLAND HEALTH,33956417,539.33
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-APMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,ISLAND MEDICAL CENTRE,33843654,540.58
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Other Addtl Staff Paymts,PRC DELEGATED CO-COMMISSIONING,DR N SELVAN,33956405,563.33
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,GROVE ROAD SURGERY,33956415,567.94
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,STROUDLY WALK,33956428,612.41
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,RUSTON STREET CLINIC,33956424,612.6
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,POLLARD ROW SURGERY,33818074,654.43
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33718277,723.89
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33718230,748.26
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,TREDEGAR MEDICAL SURGERY,33956435,781.14
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,GROVE ROAD SURGERY,33956415,797.48
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR S RANA-MASSON,33956407,807.33
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,STROUTS PLACE MEDICAL CENTRE,33975290,809.24
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,JUBILEE STREET PRACTICE,33975291,817.11
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CITY WELLBEING PRACTICE,33956401,836.05
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-APMS Prem Other,PRC DELEGATED CO-COMMISSIONING,ST PAULS WAY MEDICAL CENTRE,33818084,865.42
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Other Addtl Staff Paymts,PRC DELEGATED CO-COMMISSIONING,RUSTON STREET CLINIC,33956424,897.83
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CHRISP STREET HEALTH CENTRE,33975293,902.43
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Prem Other,PRC DELEGATED CO-COMMISSIONING,ISLAND HEALTH,33956417,951.58
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Other Addtl Staff Paymts,PRC DELEGATED CO-COMMISSIONING,ALBION HEALTH CENTRE,33956396,969.42
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Other Addtl Staff Paymts,PRC DELEGATED CO-COMMISSIONING,GROVE ROAD SURGERY,33956415,"1,029.58"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HARLEY GROVE MEDICAL CENTRE,33956413,"1,044.89"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ISLAND MEDICAL CENTRE,33843654,"1,116.19"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33718288,"1,135.95"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Other Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,HARLEY GROVE MEDICAL CENTRE,33956413,"1,173.33"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Prem Other,PRC DELEGATED CO-COMMISSIONING,ST STEPHENS HEALTH CENTRE LONDON,33956433,"1,208.33"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DOCKLANDS MEDICAL CENTRE LONDON,33956403,"1,219.88"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ALBION HEALTH CENTRE,33956396,"1,239.87"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BETHNAL GREEN HEALTH CENTRE,33956391,"1,263.00"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ABERFELDY STREET PRACTICE,33956393,"1,275.76"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,BLITHEHALE MEDICAL CENTRE,33956398,"1,332.50"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33718283,"1,366.55"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Prem Healthcentre Rates,PRC DELEGATED CO-COMMISSIONING,LIMEHOUSE PRACTICE,33956420,"1,380.93"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HARFORD HEALTH CENTRE,33956411,"1,392.48"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33718296,"1,455.79"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,WAPPING HEALTH CENTRE,33956437,"1,485.90"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,LIMEHOUSE PRACTICE,33956420,"1,574.13"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,GROVE ROAD SURGERY,33956415,"1,612.66"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR N SELVAN,33956405,"1,615.36"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ISLAND HEALTH,33956417,"1,623.68"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,CITY WELLBEING PRACTICE,33956401,"1,694.52"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,AT MEDICS LTD WHITECHAPEL HEALTH CENTRE,33818090,"1,721.69"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,MISSION PRACTICE,33956422,"1,792.79"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,JUBILEE STREET PRACTICE,33975291,"1,891.01"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,RUSTON STREET CLINIC,33956424,"1,899.78"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,SPITALFIELDS GMS PRACTICE,33956426,"1,904.18"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,CITY WELLBEING PRACTICE,33956401,"1,980.99"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,TREDEGAR MEDICAL SURGERY,33956435,"2,014.14"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,GLOBETOWN SURGERY,33956409,"2,017.66"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BLITHEHALE MEDICAL CENTRE,33956398,"2,024.10"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Other Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,BLITHEHALE MEDICAL CENTRE,33956398,"2,025.87"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,ALBION HEALTH CENTRE,33956396,"2,050.09"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ST ANDREWS HEALTH CENTRE,33818079,"2,067.45"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ST PAULS WAY MEDICAL CENTRE,33818084,"2,078.22"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ST STEPHENS HEALTH CENTRE LONDON,33956433,"2,079.90"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-APMS Contract KPIs,PRC DELEGATED CO-COMMISSIONING,POLLARD ROW SURGERY,33818074,"2,097.00"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Other Addtl Staff Paymts,PRC DELEGATED CO-COMMISSIONING,GLOBETOWN SURGERY,33956409,"2,102.92"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Other Addtl Staff Paymts,PRC DELEGATED CO-COMMISSIONING,ABERFELDY STREET PRACTICE,33956393,"2,112.08"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,STROUTS PLACE MEDICAL CENTRE,33975290,"2,154.98"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,STROUDLY WALK,33956428,"2,217.19"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,JUBILEE STREET PRACTICE,33975291,"2,229.11"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,ISLAND HEALTH,33956417,"2,261.33"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,TREDEGAR MEDICAL SURGERY,33956435,"2,310.56"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,POLLARD ROW SURGERY,33818074,"2,321.52"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CHRISP STREET HEALTH CENTRE,33975293,"2,329.85"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,JUBILEE STREET PRACTICE,33975291,"2,339.10"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,XX PLACE,33956439,"2,354.38"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,ALBION HEALTH CENTRE,33956396,"2,373.15"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-APMS Prem Healthcentre Rates,PRC DELEGATED CO-COMMISSIONING,AT MEDICS LTD WHITECHAPEL HEALTH CENTRE,33818090,"2,457.00"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS PCN DES Soc Prescribing,PRC DELEGATED CO-COMMISSIONING,ALBION HEALTH CENTRE,33956396,"2,550.09"
