Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction,amount
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",RUSTON STREET CLINIC,33616467,612.6
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS Prem Clinical Waste,"COMMISSIONING
PRC DELEGATED CO-",LIMEHOUSE PRACTICE,33616463,615.7
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS DES Minor Surgery,"PRC DELEGATED CO-
COMMISSIONING",GROVE ROAD SURGERY,33616458,649.3
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-APMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",POLLARD ROW SURGERY,33485934,654.43
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS Prem Water Rates,"PRC DELEGATED CO-
COMMISSIONING",LIMEHOUSE PRACTICE,33616463,699.61
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS DES Minor Surgery,"PRC DELEGATED CO-
COMMISSIONING",MISSION PRACTICE,33616465,726.33
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",TREDEGAR MEDICAL SURGERY,33630241,781.14
Department of Health,NHS Tower Hamlets CCG,31/08/2020,ME-PMS GP Prior Year EEs,"PRC DELEGATED CO-
COMMISSIONING",BARKANTINE PRACTICE,33485928,803.67
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",DR S RANA-MASSON,33616450,807.33
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",CITY WELLBEING PRACTICE,33616445,836.05
Department of Health,NHS Tower Hamlets CCG,31/08/2020,ME-GMS GP Prior Year EEs,"PRC DELEGATED CO-
COMMISSIONING",XX PLACE,33616482,838.15
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-APMS Prem Other,"PRC DELEGATED CO-
COMMISSIONING",ST PAULS WAY MEDICAL CENTRE,33485938,865.42
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS Other Addtl Staff Paymts,"PRC DELEGATED CO-
COMMISSIONING",RUSTON STREET CLINIC,33616467,897.83
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS Prem Other,"COMMISSIONING
PRC DELEGATED CO-",ISLAND HEALTH,33616460,951.58
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS Other Addtl Staff Paymts,"PRC DELEGATED CO-
COMMISSIONING",ALBION HEALTH CENTRE,33616439,969.42
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS Other Addtl Staff Paymts,"PRC DELEGATED CO-
COMMISSIONING",GROVE ROAD SURGERY,33616458,"1,029.58"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-APMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",ISLAND MEDICAL CENTRE,33485932,"1,116.19"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS DES Minor Surgery,"PRC DELEGATED CO-
COMMISSIONING",CHRISP STREET HEALTH CENTRE,33616443,"1,122.51"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,ME-PMS GP Pension ERs Adjs - PMS,COMMISSIONING,ISLAND MEDICAL CENTRE,33485932,"1,204.71"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",DOCKLANDS MEDICAL CENTRE LONDON,33616447,"1,219.88"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",ALBION HEALTH CENTRE,33616439,"1,239.87"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,ME-PMS GP Pension ERs Adjs - PMS,"PRC DELEGATED CO-
COMMISSIONING",BARKANTINE PRACTICE,33485928,"1,240.26"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",BETHNAL GREEN HEALTH CENTRE,33616435,"1,263.00"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",ABERFELDY STREET PRACTICE,33616437,"1,275.76"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS Prem Water Rates,"PRC DELEGATED CO-
COMMISSIONING",BLITHEHALE MEDICAL CENTRE,33616441,"1,332.50"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,ME-PMS GP Pension EEs Adjs - PMS,"PRC DELEGATED CO-
COMMISSIONING",BARKANTINE PRACTICE,33485928,"1,359.27"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",WAPPING HEALTH CENTRE,33616480,"1,485.90"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS DES Minor Surgery,"PRC DELEGATED CO-
COMMISSIONING",ALBION HEALTH CENTRE,33616439,"1,507.69"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-,ISLAND MEDICAL CENTRE,33485932,"1,557.85"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS PCN DES Participation,"COMMISSIONING
PRC DELEGATED CO-",LIMEHOUSE PRACTICE,33616463,"1,574.13"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",DR N SELVAN,33630227,"1,615.36"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",ISLAND HEALTH,33616460,"1,623.68"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS Prem Rates,"PRC DELEGATED CO-
COMMISSIONING",CITY WELLBEING PRACTICE,33616445,"1,694.52"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-APMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",AT MEDICS LTD WHITECHAPEL HEALTH CENTRE,33485940,"1,721.69"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",MISSION PRACTICE,33616465,"1,792.79"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",JUBILEE STREET PRACTICE,33630236,"1,891.01"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",RUSTON STREET CLINIC,33616467,"1,899.78"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",SPITALFIELDS GMS PRACTICE,33616469,"1,904.18"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS PCN DES Clinical Director,"PRC DELEGATED CO-
COMMISSIONING",CITY WELLBEING PRACTICE,33616445,"1,980.99"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS DES Minor Surgery,"PRC DELEGATED CO-
COMMISSIONING",BLITHEHALE MEDICAL CENTRE,33616441,"2,002.91"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS PCN DES Clinical Director,"PRC DELEGATED CO-
COMMISSIONING",TREDEGAR MEDICAL SURGERY,33630241,"2,014.14"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",GLOBETOWN SURGERY,33616452,"2,017.66"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",BLITHEHALE MEDICAL CENTRE,33616441,"2,024.10"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS Other Baseline Adjustment,"PRC DELEGATED CO-
COMMISSIONING",BLITHEHALE MEDICAL CENTRE,33616441,"2,025.87"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS Prem Rates,"PRC DELEGATED CO-
COMMISSIONING",ALBION HEALTH CENTRE,33616439,"2,050.09"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-APMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",ST ANDREWS HEALTH CENTRE,33485936,"2,067.45"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-APMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",ST PAULS WAY MEDICAL CENTRE,33485938,"2,078.22"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS PCN DES Soc Prescribing,"PRC DELEGATED CO-
COMMISSIONING",ALBION HEALTH CENTRE,33616439,"2,083.33"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-APMS Contract KPIs,"PRC DELEGATED CO-
COMMISSIONING",POLLARD ROW SURGERY,33485934,"2,097.00"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS Other Addtl Staff Paymts,"PRC DELEGATED CO-
COMMISSIONING",GLOBETOWN SURGERY,33616452,"2,102.92"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,ME-GMS GP Pension EEs Adjustments,"PRC DELEGATED CO-
COMMISSIONING",CHRISP STREET HEALTH CENTRE,33616443,"2,103.76"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS Other Addtl Staff Paymts,"PRC DELEGATED CO-
COMMISSIONING",ABERFELDY STREET PRACTICE,33616437,"2,112.08"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS Prem Water Rates,"PRC DELEGATED CO-
COMMISSIONING",CITY WELLBEING PRACTICE,33616445,"2,199.85"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS PCN DES Clinical Director,"PRC DELEGATED CO-
COMMISSIONING",JUBILEE STREET PRACTICE,33630236,"2,229.11"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS Prem Rates,COMMISSIONING,ISLAND HEALTH,33616460,"2,261.33"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M- PCN DES CARE HOME PREMIUM,"PRC DELEGATED CO-
COMMISSIONING",XX PLACE,33616482,"2,304.00"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",TREDEGAR MEDICAL SURGERY,33630241,"2,310.56"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-PMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",POLLARD ROW SURGERY,33485934,"2,321.52"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",CHRISP STREET HEALTH CENTRE,33616443,"2,329.85"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",XX PLACE,33616482,"2,354.38"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS PCN DES Clinical Director,"PRC DELEGATED CO-
COMMISSIONING",ALBION HEALTH CENTRE,33616439,"2,373.15"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,ME-GMS GP Pension ERs Adjustments,"PRC DELEGATED CO-
COMMISSIONING",CHRISP STREET HEALTH CENTRE,33616443,"2,420.16"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-APMS Prem Healthcentre Rates,"PRC DELEGATED CO-
COMMISSIONING",AT MEDICS LTD WHITECHAPEL HEALTH CENTRE,33485940,"2,457.00"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS PCN DES Soc Prescribing,"PRC DELEGATED CO-
COMMISSIONING",MISSION PRACTICE,33616465,"2,462.58"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS PCO Other,"PRC DELEGATED CO-
COMMISSIONING",RUSTON STREET CLINIC,33616467,"2,584.00"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS PCN DES Clinical Director,"PRC DELEGATED CO-
COMMISSIONING",MISSION PRACTICE,33616465,"2,731.21"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS Other Baseline Adjustment,COMMISSIONING,DOCKLANDS MEDICAL CENTRE LONDON,33616447,"2,758.51"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",DR S RANA-MASSON,33616450,"2,760.98"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS PCN DES Clinical Director,"PRC DELEGATED CO-
COMMISSIONING",DR N SELVAN,33630227,"2,809.84"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,ME-GMS GP Pension EEs Adjustments,"PRC DELEGATED CO-
COMMISSIONING",JUBILEE STREET PRACTICE,33630236,"2,855.22"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS DES Minor Surgery,"PRC DELEGATED CO-
COMMISSIONING",JUBILEE STREET PRACTICE,33630236,"2,938.34"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,ME-GMS GP Pension ERs Adjustments,"PRC DELEGATED CO-
COMMISSIONING",JUBILEE STREET PRACTICE,33630236,"2,943.57"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-APMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",BARKANTINE PRACTICE,33485928,"2,956.57"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS Prem Other,"PRC DELEGATED CO-
COMMISSIONING",SPITALFIELDS GMS PRACTICE,33616469,"3,041.67"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS PCN DES Clin Pharmacist,"PRC DELEGATED CO-
COMMISSIONING",MISSION PRACTICE,33616465,"3,053.50"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS Prem Other,"PRC DELEGATED CO-
COMMISSIONING",MISSION PRACTICE,33616465,"3,083.33"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-PMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",ISLAND MEDICAL CENTRE,33485932,"3,092.87"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-APMS PCN DES Clinical Director,"PRC DELEGATED CO-
COMMISSIONING",ST PAULS WAY MEDICAL CENTRE,33485938,"3,260.91"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",CITY WELLBEING PRACTICE,33616445,"3,274.39"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS Prem Healthcentre Rates,"PRC DELEGATED CO-
COMMISSIONING",BLITHEHALE MEDICAL CENTRE,33616441,"3,286.83"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",DOCKLANDS MEDICAL CENTRE LONDON,33616447,"3,306.94"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-APMS Contract KPIs,"PRC DELEGATED CO-
COMMISSIONING",ISLAND MEDICAL CENTRE,33485932,"3,391.08"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS PCN DES Soc Prescribing,"PRC DELEGATED CO-
COMMISSIONING",JUBILEE STREET PRACTICE,33630236,"3,404.75"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-APMS Prem Rates,"PRC DELEGATED CO-
COMMISSIONING",BARKANTINE PRACTICE,33485928,"3,493.73"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M- PCN DES CARE HOME PREMIUM,"PRC DELEGATED CO-
COMMISSIONING",DR N SELVAN,33630227,"3,600.00"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS Prem Rates,"PRC DELEGATED CO-
COMMISSIONING",GLOBETOWN SURGERY,33616452,"3,790.50"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",ABERFELDY STREET PRACTICE,33616437,"3,863.91"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS DES Extended Hours Access,"PRC DELEGATED CO-
COMMISSIONING",CITY WELLBEING PRACTICE,33616445,"3,978.44"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-APMS PCO Doctors Ret Scheme,"PRC DELEGATED CO-
COMMISSIONING",ST PAULS WAY MEDICAL CENTRE,33485938,"4,000.00"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,ME - GMS GP Prior Year ERs,"PRC DELEGATED CO-
COMMISSIONING",ALBION HEALTH CENTRE,33616439,"4,042.79"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS DES Extended Hours Access,"PRC DELEGATED CO-
COMMISSIONING",TREDEGAR MEDICAL SURGERY,33630241,"4,045.02"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,CITY WELLBEING PRACTICE,33616445,"4,115.63"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",BETHNAL GREEN HEALTH CENTRE,33616435,"4,145.98"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,TREDEGAR MEDICAL SURGERY,33630241,"4,184.50"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M- PCN DES CARE HOME PREMIUM,"PRC DELEGATED CO-
COMMISSIONING",JUBILEE STREET PRACTICE,33630236,"4,320.00"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,ME - GMS GP Prior Year ERs,"PRC DELEGATED CO-
COMMISSIONING",ISLAND HEALTH,33616460,"4,454.18"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS DES Extended Hours Access,"PRC DELEGATED CO-
COMMISSIONING",JUBILEE STREET PRACTICE,33630236,"4,476.75"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",WAPPING HEALTH CENTRE,33616480,"4,594.45"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,JUBILEE STREET PRACTICE,33630236,"4,631.13"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS PCN DES Clin Pharmacist,"PRC DELEGATED CO-
COMMISSIONING",ALBION HEALTH CENTRE,33616439,"4,639.17"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS DES Extended Hours Access,"PRC DELEGATED CO-
COMMISSIONING",ALBION HEALTH CENTRE,33616439,"4,766.03"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",GLOBETOWN SURGERY,33616452,"4,863.24"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",ALBION HEALTH CENTRE,33616439,"4,876.25"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-,MISSION PRACTICE,33616465,"4,914.69"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS PCN DES Soc Prescribing,"PRC DELEGATED CO-
COMMISSIONING",TREDEGAR MEDICAL SURGERY,33630241,"4,929.30"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,ALBION HEALTH CENTRE,33616439,"4,930.38"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-APMS Prem Service Charges,"PRC DELEGATED CO-
COMMISSIONING",BARKANTINE PRACTICE,33485928,"5,000.00"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,Clinical&Medical-Clinical Other,LOCAL ENHANCED SERVICES,MIDAS HR CONSULTING LTD,33593786,"5,000.00"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,Other professional fees,PROGRAMME PROJECTS,FUTUREGOV LTD,33524215,"5,180.62"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-APMS Contract KPIs,"PRC DELEGATED CO-
COMMISSIONING",AT MEDICS LTD WHITECHAPEL HEALTH CENTRE,33485940,"5,230.58"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS Prem Rates,"PRC DELEGATED CO-
COMMISSIONING",SPITALFIELDS GMS PRACTICE,33616469,"5,231.33"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-PMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",ST ANDREWS HEALTH CENTRE,33485936,"5,436.44"
