Department family,Entity,Date,Supplier,Transaction,Amount
Department of Health,NHS Tower Hamlets CCG,30/04/2020,DR S RANA-MASSON,31948680,"42,349.13"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,EAST ONE HEALTH,31800519,"1,532.82"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,EAST ONE HEALTH,31800519,"5,132.00"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,EAST ONE HEALTH,31800519,"121,187.00"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,GLOBETOWN SURGERY,31948682,287.59
Department of Health,NHS Tower Hamlets CCG,30/04/2020,GLOBETOWN SURGERY,31948682,"2,000.66"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,GLOBETOWN SURGERY,31948682,"2,102.92"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,GLOBETOWN SURGERY,31948682,"2,307.83"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,GLOBETOWN SURGERY,31948682,"4,115.00"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,GLOBETOWN SURGERY,31948682,"9,778.63"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,GLOBETOWN SURGERY,31948682,"11,336.22"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,GLOBETOWN SURGERY,31948682,"105,024.37"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,GROVE ROAD SURGERY,31948688,43.45
Department of Health,NHS Tower Hamlets CCG,30/04/2020,GROVE ROAD SURGERY,31948688,69.77
Department of Health,NHS Tower Hamlets CCG,30/04/2020,GROVE ROAD SURGERY,31948688,534.42
Department of Health,NHS Tower Hamlets CCG,30/04/2020,GROVE ROAD SURGERY,31948688,"1,029.58"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,GROVE ROAD SURGERY,31948688,"1,424.00"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,GROVE ROAD SURGERY,31948688,"29,722.12"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,HARFORD HEALTH CENTRE,31948684,"1,387.58"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,HARFORD HEALTH CENTRE,31948684,"5,618.00"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,HARFORD HEALTH CENTRE,31948684,"9,563.39"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,HARLEY GROVE MEDICAL CENTRE,31948686,204.83
Department of Health,NHS Tower Hamlets CCG,30/04/2020,HARLEY GROVE MEDICAL CENTRE,31948686,988.54
Department of Health,NHS Tower Hamlets CCG,30/04/2020,HARLEY GROVE MEDICAL CENTRE,31948686,"1,173.33"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,HARLEY GROVE MEDICAL CENTRE,31948686,"1,265.17"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,HARLEY GROVE MEDICAL CENTRE,31948686,"8,375.00"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,HARLEY GROVE MEDICAL CENTRE,31948686,"56,758.02"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,ISLAND HEALTH,31948690,539.33
Department of Health,NHS Tower Hamlets CCG,30/04/2020,ISLAND HEALTH,31948690,"5,655.00"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,ISLAND MEDICAL CENTRE,31800521,398
Department of Health,NHS Tower Hamlets CCG,30/04/2020,ISLAND MEDICAL CENTRE,31800521,"1,070.93"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,ISLAND MEDICAL CENTRE,31800521,"2,370.00"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,ISLAND MEDICAL CENTRE,31800521,"76,098.00"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,JO BARTER ASSOCIATES LTD,31935304,"60,000.00"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,JUBILEE STREET PRACTICE,31948693,949.67
Department of Health,NHS Tower Hamlets CCG,30/04/2020,JUBILEE STREET PRACTICE,31948693,"1,872.73"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,JUBILEE STREET PRACTICE,31948693,"2,218.77"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,JUBILEE STREET PRACTICE,31948693,"4,455.97"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,JUBILEE STREET PRACTICE,31948693,"6,811.44"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,JUBILEE STREET PRACTICE,31948693,"7,742.00"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,JUBILEE STREET PRACTICE,31948693,"12,389.66"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,JUBILEE STREET PRACTICE,31948693,"73,500.00"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,JUBILEE STREET PRACTICE,31948693,"98,099.16"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,LIMEHOUSE PRACTICE,31948695,219.33
Department of Health,NHS Tower Hamlets CCG,30/04/2020,LIMEHOUSE PRACTICE,31948695,"1,588.63"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,LIMEHOUSE PRACTICE,31948695,"6,280.00"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,LONDON AMBULANCE SERVICE NHS TRUST,31952530,"-94,836.00"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,LONDON AMBULANCE SERVICE NHS TRUST,31807865,1222556.12
Department of Health,NHS Tower Hamlets CCG,30/04/2020,LONDONWIDE LMCS,31922451,"54,548.00"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,LOOK AHEAD CARE & SUPPORT LTD,32138283,"123,975.90"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,LOOK AHEAD CARE & SUPPORT LTD,32138286,"146,152.80"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,"LTD
POLLARD ROW SURGERY",31800522,"2,097.00"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,MIDAS HR CONSULTING LTD,31757143,"30,000.00"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,MILDMAY MISSION HOSPITAL UK,32104173,"-41,599.00"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,MILDMAY MISSION HOSPITAL UK,32104178,"63,000.00"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,MISSION PRACTICE,31948697,258.64
Department of Health,NHS Tower Hamlets CCG,30/04/2020,MISSION PRACTICE,31948697,"1,791.16"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,MISSION PRACTICE,31948697,"2,067.04"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,MISSION PRACTICE,31948697,"2,725.79"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,MISSION PRACTICE,31948697,"5,474.23"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,MISSION PRACTICE,31948697,"6,893.00"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,MISSION PRACTICE,31948697,"93,188.31"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,PARTNERSHIP OF EAST LONDON CO-OPERATIVES,31816854,"66,318.84"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,POLLARD ROW SURGERY,31800522,690.12
Department of Health,NHS Tower Hamlets CCG,30/04/2020,POLLARD ROW SURGERY,31800522,904
Department of Health,NHS Tower Hamlets CCG,30/04/2020,POLLARD ROW SURGERY,31800522,"2,349.00"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,POLLARD ROW SURGERY,31800522,"50,449.00"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,RUSTON STREET CLINIC,31948700,556.95
Department of Health,NHS Tower Hamlets CCG,30/04/2020,RUSTON STREET CLINIC,31948700,897.83
Department of Health,NHS Tower Hamlets CCG,30/04/2020,RUSTON STREET CLINIC,31948700,"1,701.00"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,SPITALFIELDS GMS PRACTICE,31948702,248.29
Department of Health,NHS Tower Hamlets CCG,30/04/2020,SPITALFIELDS GMS PRACTICE,31948702,1647.9
Department of Health,NHS Tower Hamlets CCG,30/04/2020,SPITALFIELDS GMS PRACTICE,31948702,"1,880.69"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,SPITALFIELDS GMS PRACTICE,31948702,"6,092.15"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,SPITALFIELDS GMS PRACTICE,31948702,"99,159.79"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,ST ANDREWS HEALTH CENTRE,31800524,"1,979.60"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,ST ANDREWS HEALTH CENTRE,31800524,"4,617.00"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,ST ANDREWS HEALTH CENTRE,31800524,"6,014.00"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,ST ANDREWS HEALTH CENTRE,31800524,"129,388.00"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,ST FRANCIS HOSPICE,31873811,"-247,481.00"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,ST PAULS WAY MEDICAL CENTRE,31800526,"1,955.47"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,ST PAULS WAY MEDICAL CENTRE,31800526,"3,242.68"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,ST PAULS WAY MEDICAL CENTRE,31800526,"5,894.00"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,ST PAULS WAY MEDICAL CENTRE,31800526,"5,941.00"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,ST PAULS WAY MEDICAL CENTRE,31800526,"6,512.31"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,ST PAULS WAY MEDICAL CENTRE,31800526,"116,185.00"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,ST STEPHENS HEALTH CENTRE LONDON,31948711,244.14
Department of Health,NHS Tower Hamlets CCG,30/04/2020,ST STEPHENS HEALTH CENTRE LONDON,31948711,1381.81
Department of Health,NHS Tower Hamlets CCG,30/04/2020,ST STEPHENS HEALTH CENTRE LONDON,31948711,"2,029.55"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,ST STEPHENS HEALTH CENTRE LONDON,31948711,"7,740.64"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,ST STEPHENS HEALTH CENTRE LONDON,31948711,"107,711.17"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,STROUDLY WALK,31948704,647.38
Department of Health,NHS Tower Hamlets CCG,30/04/2020,STROUDLY WALK,31948704,"2,214.00"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,STROUDLY WALK,31948704,"4,603.81"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,STROUDLY WALK,31948704,"33,270.64"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,STROUTS PLACE MEDICAL CENTRE,31948706,345.92
Department of Health,NHS Tower Hamlets CCG,30/04/2020,STROUTS PLACE MEDICAL CENTRE,31948706,"41,956.40"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,TOWER HAMLETS GP CARE GROUP,31952569,233674.48
Department of Health,NHS Tower Hamlets CCG,30/04/2020,"TRUST
HARFORD HEALTH CENTRE",31948684,"75,662.99"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,"TRUST
RUSTON STREET CLINIC",31948700,"31,678.06"
