Department family,Entity,Date,Expense Type,Expense area,,Supplier,Transaction,amount
Department of Health,NHS Tower Hamlets CCG,30/06/2020,Statutory Mat Pay < 1 yr,BALANCE SHEET,,HMRC,32769435,-1530.1
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS GP Statutory Levy,"PRC DELEGATED CO-
COMMISSIONING",,BETHNAL GREEN HEALTH CENTRE,32822988,-1309.92
Department of Health,NHS Tower Hamlets CCG,30/06/2020,ME - GMS TPS Added Years Adj EEs,"PRC DELEGATED CO-
COMMISSIONING",,BLITHEHALE MEDICAL CENTRE,32822994,-675
Department of Health,NHS Tower Hamlets CCG,30/06/2020,ME - GMS TPS Added Years Adj EEs,"PRC DELEGATED CO-
COMMISSIONING",,MISSION PRACTICE,32823015,-539.17
Department of Health,NHS Tower Hamlets CCG,30/06/2020,ME - GMS TPS Added Years Adj EEs,"PRC DELEGATED CO-
COMMISSIONING",,ST STEPHENS HEALTH CENTRE LONDON,32823026,-385.62
Department of Health,NHS Tower Hamlets CCG,30/06/2020,ME - GMS TPS Added Years Adj EEs,"PRC DELEGATED CO-
COMMISSIONING",,CHRISP STREET HEALTH CENTRE,32822996,-373.91
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-PMS Voluntary Levy,"PRC DELEGATED CO-
COMMISSIONING",,BARKANTINE PRACTICE,32674104,-169.3
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Voluntary Levy,"PRC DELEGATED CO-
COMMISSIONING",,CHRISP STREET HEALTH CENTRE,32822996,-107.76
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Voluntary Levy,"PRC DELEGATED CO-
COMMISSIONING",,BLITHEHALE MEDICAL CENTRE,32822994,-107.66
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Voluntary Levy,"PRC DELEGATED CO-
COMMISSIONING",,SPITALFIELDS GMS PRACTICE,32823019,-100.82
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Voluntary Levy,"PRC DELEGATED CO-
COMMISSIONING",,ST STEPHENS HEALTH CENTRE LONDON,32823026,-94.75
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Voluntary Levy,"PRC DELEGATED CO-
COMMISSIONING",,MISSION PRACTICE,32823015,-84.85
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Voluntary Levy,"PRC DELEGATED CO-
COMMISSIONING",,BETHNAL GREEN HEALTH CENTRE,32822988,-58.93
Department of Health,NHS Tower Hamlets CCG,30/06/2020,Post Graduate Loan Payable,BALANCE SHEET,,HMRC,32769435,44
Department of Health,NHS Tower Hamlets CCG,30/06/2020,ME-GMS GP Pension EEs,"PRC DELEGATED CO-
COMMISSIONING",,RUSTON STREET CLINIC,32823018,125.99
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Prem Other,"PRC DELEGATED CO-
COMMISSIONING",,BRAYFORD SQUARE SURGERY,32823033,141.67
Department of Health,NHS Tower Hamlets CCG,30/06/2020,ME-PMS GP Pension EEs Adjs - PMS,"PRC DELEGATED CO-
COMMISSIONING",,BARKANTINE PRACTICE,32674105,148.74
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-APMS Prem Other,"PRC DELEGATED CO-
COMMISSIONING",,POLLARD ROW SURGERY,32692533,169.16
Department of Health,NHS Tower Hamlets CCG,30/06/2020,ME-GMS GP Pension EEs,"PRC DELEGATED CO-
COMMISSIONING",,JUBILEE STREET PRACTICE,32838005,189.53
Department of Health,NHS Tower Hamlets CCG,30/06/2020,ME-GMS GP Prior Year EEs,"PRC DELEGATED CO-
COMMISSIONING",,WAPPING HEALTH CENTRE,32823030,262.5
Department of Health,NHS Tower Hamlets CCG,30/06/2020,ME - GMS GP Prior Year ERs,"PRC DELEGATED CO-
COMMISSIONING",,WAPPING HEALTH CENTRE,32823030,301.98
Department of Health,NHS Tower Hamlets CCG,30/06/2020,ME-PMS GP Pension ERs Adjs - PMS,"PRC DELEGATED CO-
COMMISSIONING",,BARKANTINE PRACTICE,32674105,381.92
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Prem Other,"PRC DELEGATED CO-
COMMISSIONING",,ALBION HEALTH CENTRE,32822993,392.5
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-APMS Contract KPIs,"PRC DELEGATED CO-
COMMISSIONING",,ISLAND MEDICAL CENTRE,32674108,398
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-APMS Prem Rates,"PRC DELEGATED CO-
COMMISSIONING",,POLLARD ROW SURGERY,32692533,432.35
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",,BRAYFORD SQUARE SURGERY,32823033,491.06
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",,GROVE ROAD SURGERY,32823009,567.94
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Prem Clinical Waste,"PRC DELEGATED CO-
COMMISSIONING",,BLITHEHALE MEDICAL CENTRE,32822995,569.37
Department of Health,NHS Tower Hamlets CCG,30/06/2020,ME-GMS GP Pension ERs Adjustments,"PRC DELEGATED CO-
COMMISSIONING",,RUSTON STREET CLINIC,32823018,611.12
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",,STROUDLY WALK,32823022,612.41
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",,RUSTON STREET CLINIC,32823018,612.6
Department of Health,NHS Tower Hamlets CCG,30/06/2020,ME-GMS GP Pension EEs Adjustments,"PRC DELEGATED CO-
COMMISSIONING",,RUSTON STREET CLINIC,32823018,616.22
Department of Health,NHS Tower Hamlets CCG,30/06/2020,ME-GMS GP Pension EEs Adjustments,"PRC DELEGATED CO-
COMMISSIONING",,ALBION HEALTH CENTRE,32822993,625
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-APMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",,POLLARD ROW SURGERY,32692533,654.43
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Other Addtl Staff Paymts,"PRC DELEGATED CO-
COMMISSIONING",,STROUTS PLACE MEDICAL CENTRE,32823024,691.84
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Prem Water Rates,"PRC DELEGATED CO-
COMMISSIONING",,SPITALFIELDS GMS PRACTICE,32823020,694.73
Department of Health,NHS Tower Hamlets CCG,30/06/2020,ME-GMS GP Pension ERs Adjustments,"PRC DELEGATED CO-
COMMISSIONING",,ALBION HEALTH CENTRE,32822993,719
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",,TREDEGAR MEDICAL SURGERY,32838008,781.14
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",,DR S RANA-MASSON,32823002,807.33
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",,STROUTS PLACE MEDICAL CENTRE,32823024,809.24
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",,CITY WELLBEING PRACTICE,32837993,836.05
Department of Health,NHS Tower Hamlets CCG,30/06/2020,ME-GMS GP Pension ERs Adjustments,"PRC DELEGATED CO-
COMMISSIONING",,SPITALFIELDS GMS PRACTICE,32823020,862.82
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-APMS Prem Other,"PRC DELEGATED CO-
COMMISSIONING",,ST PAULS WAY MEDICAL CENTRE,32692534,865.42
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Prem Other,"PRC DELEGATED CO-
COMMISSIONING",,ISLAND HEALTH,32823011,951.58
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",,HARLEY GROVE MEDICAL CENTRE,32823007,1044.89
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Other Addtl Staff Paymts,"PRC DELEGATED CO-
COMMISSIONING",,ISLAND HEALTH,32823011,1078.66
Department of Health,NHS Tower Hamlets CCG,30/06/2020,ME-GMS GP Pension EEs Adjustments,"PRC DELEGATED CO-
COMMISSIONING",,SPITALFIELDS GMS PRACTICE,32823020,1085
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-APMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",,ISLAND MEDICAL CENTRE,32674108,1116.19
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Other Addtl Staff Paymts,"PRC DELEGATED CO-
COMMISSIONING",,DR N SELVAN,32838000,1126.66
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Prem Other,"PRC DELEGATED CO-
COMMISSIONING",,ST STEPHENS HEALTH CENTRE LONDON,32823027,1208.33
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",,DOCKLANDS MEDICAL CENTRE LONDON,32822999,1219.88
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",,ALBION HEALTH CENTRE,32822993,1239.87
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",,BETHNAL GREEN HEALTH CENTRE,32822989,1263
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",,ABERFELDY STREET PRACTICE,32822991,1275.76
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",,HARFORD HEALTH CENTRE,32823005,1392.48
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",,WAPPING HEALTH CENTRE,32823030,1485.9
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-APMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",,EAST ONE HEALTH,32692532,1490.97
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",,LIMEHOUSE PRACTICE,32823014,1574.13
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",,DR N SELVAN,32838000,1615.36
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-APMS Prem Rates,"PRC DELEGATED CO-
COMMISSIONING",,ISLAND MEDICAL CENTRE,32674108,1621.75
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",,ISLAND HEALTH,32823011,1623.68
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-APMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",,AT MEDICS LTD WHITECHAPEL HEALTH CENTRE,32674114,1721.69
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Prem Water Rates,"PRC DELEGATED CO-
COMMISSIONING",,GLOBETOWN SURGERY,32838003,1777.96
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",,MISSION PRACTICE,32823016,1792.79
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Other Addtl Staff Paymts,"PRC DELEGATED CO-
COMMISSIONING",,RUSTON STREET CLINIC,32823018,1795.66
Department of Health,NHS Tower Hamlets CCG,30/06/2020,ME-GMS GP Prior Year EEs,"PRC DELEGATED CO-
COMMISSIONING",,ISLAND HEALTH,32823011,1849.18
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",,JUBILEE STREET PRACTICE,32838005,1891.01
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",,SPITALFIELDS GMS PRACTICE,32823020,1904.18
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Other Addtl Staff Paymts,"PRC DELEGATED CO-
COMMISSIONING",,ALBION HEALTH CENTRE,32822993,1938.84
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS PCN DES Clinical Director,"PRC DELEGATED CO-
COMMISSIONING",,CITY WELLBEING PRACTICE,32837993,1980.99
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS PCN DES Clinical Director,"PRC DELEGATED CO-
COMMISSIONING",,TREDEGAR MEDICAL SURGERY,32838008,2014.14
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",,GLOBETOWN SURGERY,32838003,2017.66
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",,BLITHEHALE MEDICAL CENTRE,32822995,2024.1
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Prem Rates,"PRC DELEGATED CO-
COMMISSIONING",,ALBION HEALTH CENTRE,32822993,2050.09
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Other Addtl Staff Paymts,"PRC DELEGATED CO-
COMMISSIONING",,GROVE ROAD SURGERY,32823009,2059.16
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-APMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",,ST ANDREWS HEALTH CENTRE,32674111,2067.45
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-APMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",,ST PAULS WAY MEDICAL CENTRE,32692534,2078.22
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",,ST STEPHENS HEALTH CENTRE LONDON,32823027,2079.9
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-APMS Contract KPIs,"PRC DELEGATED CO-
COMMISSIONING",,POLLARD ROW SURGERY,32692533,2097
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS PCN DES Clinical Director,"PRC DELEGATED CO-
COMMISSIONING",,JUBILEE STREET PRACTICE,32838005,2229.11
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Prem Rates,"PRC DELEGATED CO-
COMMISSIONING",,ISLAND HEALTH,32823011,2261.33
Department of Health,NHS Tower Hamlets CCG,30/06/2020,ME - GMS GP Prior Year ERs,"PRC DELEGATED CO-
COMMISSIONING",,ISLAND HEALTH,32823011,2313.39
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",,CHRISP STREET HEALTH CENTRE,32822997,2329.85
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Other Baseline Adjustment,"PRC DELEGATED CO-
COMMISSIONING",,HARLEY GROVE MEDICAL CENTRE,32823007,2346.66
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",,XX PLACE,32838009,2354.38
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS PCN DES Clinical Director,"PRC DELEGATED CO-
COMMISSIONING",,ALBION HEALTH CENTRE,32822993,2373.15
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Prem Rates,"PRC DELEGATED CO-
COMMISSIONING",,GROVE ROAD SURGERY,32823009,2392.45
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS PCN DES Clinical Director,"PRC DELEGATED CO-
COMMISSIONING",,MISSION PRACTICE,32823016,2731.21
Department of Health,NHS Tower Hamlets CCG,30/06/2020,ME - GMS GP Prior Year ERs,"PRC DELEGATED CO-
COMMISSIONING",,STROUTS PLACE MEDICAL CENTRE,32823024,2800.32
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS PCN DES Clinical Director,"PRC DELEGATED CO-
COMMISSIONING",,DR N SELVAN,32838000,2809.84
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-APMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",,BARKANTINE PRACTICE,32674105,2956.57
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Prem Other,"PRC DELEGATED CO-
COMMISSIONING",,MISSION PRACTICE,32823016,3083.33
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS PCO Other,"PRC DELEGATED CO-
COMMISSIONING",,STROUTS PLACE MEDICAL CENTRE,32823024,3133
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-APMS PCN DES Clinical Director,"PRC DELEGATED CO-
COMMISSIONING",,ST PAULS WAY MEDICAL CENTRE,32692534,3260.91
Department of Health,NHS Tower Hamlets CCG,30/06/2020,Apprenticeship Levy Payable,BALANCE SHEET,,HMRC,32769435,3458
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Prem Rates,"PRC DELEGATED CO-
COMMISSIONING",,DOCKLANDS MEDICAL CENTRE LONDON,32822999,3520.72
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Prem Cost Rent,"PRC DELEGATED CO-
COMMISSIONING",,GROVE ROAD SURGERY,32823009,3625
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS DES Extended Hours Access,"PRC DELEGATED CO-
COMMISSIONING",,CITY WELLBEING PRACTICE,32837993,3978.44
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Prem Water Rates,"PRC DELEGATED CO-
COMMISSIONING",,BLITHEHALE MEDICAL CENTRE,32822995,3997.5
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS DES Extended Hours Access,"PRC DELEGATED CO-
COMMISSIONING",,TREDEGAR MEDICAL SURGERY,32838008,4045.02
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Other Baseline Adjustment,"PRC DELEGATED CO-
COMMISSIONING",,BLITHEHALE MEDICAL CENTRE,32822995,4051.74
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,,CITY WELLBEING PRACTICE,32837993,4115.63
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,,TREDEGAR MEDICAL SURGERY,32838008,4184.5
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS PCO Other,"PRC DELEGATED CO-
COMMISSIONING",,SPITALFIELDS GMS PRACTICE,32823020,4185.5
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Other Addtl Staff Paymts,"PRC DELEGATED CO-
COMMISSIONING",,GLOBETOWN SURGERY,32838003,4205.84
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M- PCN DES CARE HOME PREMIUM,"PRC DELEGATED CO-
COMMISSIONING",,EAST ONE HEALTH,32692532,4224
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS Other Addtl Staff Paymts,"PRC DELEGATED CO-
COMMISSIONING",,ABERFELDY STREET PRACTICE,32822991,4224.16
Department of Health,NHS Tower Hamlets CCG,30/06/2020,Income tax <1Yr-Student Loans,BALANCE SHEET,,HMRC,32769435,4267
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS DES Extended Hours Access,"PRC DELEGATED CO-
COMMISSIONING",,JUBILEE STREET PRACTICE,32838005,4476.75
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M- PCN DES CARE HOME PREMIUM,"PRC DELEGATED CO-
COMMISSIONING",,XX PLACE,32838009,4608
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,,JUBILEE STREET PRACTICE,32838005,4631.13
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-APMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",,POLLARD ROW SURGERY,32692533,4698
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-APMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",,ISLAND MEDICAL CENTRE,32674108,4740
