Department family,Entity,Date,Expense Type,Expense area,,Supplier,Transaction,amount
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-APMS Prem Service Charges,"COMMISSIONING
PRC DELEGATED CO-",,BARKANTINE PRACTICE,32286166,10000
Department of Health,NHS Tower Hamlets CCG,31/05/2020,Clinical&Medical-Independent Sector,,,BARKANTINE PRACTICE,32382471,67379.39
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-,,CITY WELLBEING PRACTICE,32402621,1672.1
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS DES Learn Dsblty Hlth Chk,"COMMISSIONING
PRC DELEGATED CO-",,DOCKLANDS MEDICAL CENTRE LONDON,32402623,1120
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS PCN DES Participation,"COMMISSIONING
PRC DELEGATED CO-",,DOCKLANDS MEDICAL CENTRE LONDON,32402623,2439.76
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS Global Sum,"COMMISSIONING
PRC DELEGATED CO-",,DOCKLANDS MEDICAL CENTRE LONDON,32402623,66478.83
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-,,DR N SELVAN,32402625,3230.72
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS PCN DES Clinical Director,"COMMISSIONING
PRC DELEGATED CO-",,DR N SELVAN,32402625,5619.68
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS DES Extended Hours Access,"COMMISSIONING
PRC DELEGATED CO-",,DR N SELVAN,32402625,11286.08
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS PCN DES PCN support,"COMMISSIONING
LOCAL ENHANCED SERVICES",,DR N SELVAN,32402625,11675.26
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS Global Sum,"COMMISSIONING
PRC DELEGATED CO-",,DR N SELVAN,32402625,83710.3
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS DES Learn Dsblty Hlth Chk,"COMMISSIONING
PRC DELEGATED CO-",,DR S RANA-MASSON,32402627,840
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS PCN DES Participation,"COMMISSIONING
PRC DELEGATED CO-",,DR S RANA-MASSON,32402627,1614.66
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS Global Sum,"COMMISSIONING
PRC DELEGATED CO-",,DR S RANA-MASSON,32402627,42349.13
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-APMS PCN DES Participation,"COMMISSIONING
PRC DELEGATED CO-",,EAST ONE HEALTH,32286168,2981.94
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-PMS DES Learn Dsblty Hlth Chk,"COMMISSIONING
PRC DELEGATED CO-",,EAST ONE HEALTH,32286168,3360
Department of Health,NHS Tower Hamlets CCG,31/05/2020,"Baseline
C&M-APMS Contract Value",PRC DELEGATED CO-,,EAST ONE HEALTH,32286168,121187
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-,,GLOBETOWN SURGERY,32402629,2660
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS PCN DES Participation,"COMMISSIONING
PRC DELEGATED CO-",,GLOBETOWN SURGERY,32402629,4035.32
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS Global Sum,"COMMISSIONING
PRC DELEGATED CO-",,GLOBETOWN SURGERY,32402629,105024.37
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS DES Minor Surgery,"COMMISSIONING
PRC DELEGATED CO-",,GROVE ROAD SURGERY,32402635,484.22
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS PCN DES Participation,"COMMISSIONING
PRC DELEGATED CO-",,GROVE ROAD SURGERY,32402635,1135.88
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS DES Learn Dsblty Hlth Chk,"COMMISSIONING
PRC DELEGATED CO-",,GROVE ROAD SURGERY,32402635,2240
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS Prem Cost Rent,"COMMISSIONING
PRC DELEGATED CO-",,GROVE ROAD SURGERY,32402635,7250
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS Global Sum,"COMMISSIONING
PRC DELEGATED CO-",,GROVE ROAD SURGERY,32402635,29722.12
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS PCN DES Participation,"COMMISSIONING
PRC DELEGATED CO-",,HARFORD HEALTH CENTRE,32402631,2784.96
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS Global Sum,"COMMISSIONING
PRC DELEGATED CO-",,HARFORD HEALTH CENTRE,32402631,75662.99
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS DES Learn Dsblty Hlth Chk,"COMMISSIONING
PRC DELEGATED CO-",,HARLEY GROVE MEDICAL CENTRE,32402633,560
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS PCN DES Participation,"COMMISSIONING
PRC DELEGATED CO-",,HARLEY GROVE MEDICAL CENTRE,32402633,2089.78
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS QOF Aspiration,"COMMISSIONING
PRC DELEGATED CO-",,HARLEY GROVE MEDICAL CENTRE,32402633,3197.27
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS PCO Other,"COMMISSIONING
PRC DELEGATED CO-",,HARLEY GROVE MEDICAL CENTRE,32402633,4219
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS Prem Notional Rent,"COMMISSIONING
PRC DELEGATED CO-",,HARLEY GROVE MEDICAL CENTRE,32402633,8375
Department of Health,NHS Tower Hamlets CCG,31/05/2020,ME - GMS GP Prior Year ERs,"COMMISSIONING
PRC DELEGATED CO-",,HARLEY GROVE MEDICAL CENTRE,32402633,11765.07
Department of Health,NHS Tower Hamlets CCG,31/05/2020,ME-GMS GP Prior Year EEs,"COMMISSIONING
PRC DELEGATED CO-",,HARLEY GROVE MEDICAL CENTRE,32402633,12165
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS Global Sum,"COMMISSIONING
PRC DELEGATED CO-",,HARLEY GROVE MEDICAL CENTRE,32402633,56758.02
Department of Health,NHS Tower Hamlets CCG,31/05/2020,Statutory Mat Pay < 1 yr,BALANCE SHEET,,HMRC,32408206,-1666.89
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS Prem Other,,,ISLAND HEALTH,32422001,1903.16
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS PCN DES Participation,"COMMISSIONING
PRC DELEGATED CO-",,ISLAND HEALTH,32422001,3247.36
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-,,ISLAND HEALTH,32422001,4060
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS Prem Rates,,,ISLAND HEALTH,32422001,4522.66
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS Prem Actual Rent,"COMMISSIONING
PRC DELEGATED CO-",,ISLAND HEALTH,32422001,25375
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS Global Sum,"COMMISSIONING
PRC DELEGATED CO-",,ISLAND HEALTH,32422001,85064.6
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-APMS Contract KPIs,,,ISLAND MEDICAL CENTRE,32286170,398
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-PMS DES Learn Dsblty Hlth Chk,,,ISLAND MEDICAL CENTRE,32286170,840
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-APMS PCN DES Participation,,,ISLAND MEDICAL CENTRE,32286170,2232.38
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-APMS Contract Value,,,ISLAND MEDICAL CENTRE,32286170,76098
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS Prem Water Rates,,,JUBILEE STREET PRACTICE,32402638,242.08
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS PCN DES Participation,,,JUBILEE STREET PRACTICE,32402638,3782.02
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS DES Learn Dsblty Hlth Chk,,,JUBILEE STREET PRACTICE,32402638,3920
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS Prem Rates,,,JUBILEE STREET PRACTICE,32402638,5925.49
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS DES Extended Hours Access,,,JUBILEE STREET PRACTICE,32402638,8953.5
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS PCN DES PCN support,,,JUBILEE STREET PRACTICE,32402638,9262.26
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS PCN DES Participation,,,LIMEHOUSE PRACTICE,32402640,3148.26
Department of Health,NHS Tower Hamlets CCG,31/05/2020,Clinical&Medical-Clinical Other,LOCAL ENHANCED SERVICES,,MIDAS HR CONSULTING LTD,32434990,30000
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS DES Learn Dsblty Hlth Chk,"COMMISSIONING
PRC DELEGATED CO-",,MISSION PRACTICE,32402642,840
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-,,MISSION PRACTICE,32402642,3585.58
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS PCN DES Clinical Director,"COMMISSIONING
PRC DELEGATED CO-",,MISSION PRACTICE,32402642,5462.42
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS Prem Other,"COMMISSIONING
PRC DELEGATED CO-",,MISSION PRACTICE,32402642,6166.66
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-,,MISSION PRACTICE,32402642,10970.22
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS PCN DES PCN support,"COMMISSIONING
LOCAL ENHANCED SERVICES",,MISSION PRACTICE,32402642,11348.5
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-,,MISSION PRACTICE,32463947,43200
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS Global Sum,"COMMISSIONING
PRC DELEGATED CO-",,MISSION PRACTICE,32402642,93188.31
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-APMS Prem Other,"COMMISSIONING
PRC DELEGATED CO-",,POLLARD ROW SURGERY,32286172,338.32
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-APMS Prem Rates,"COMMISSIONING
PRC DELEGATED CO-",,POLLARD ROW SURGERY,32286172,432.35
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-PMS DES Learn Dsblty Hlth Chk,"COMMISSIONING
PRC DELEGATED CO-",,POLLARD ROW SURGERY,32286172,700
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-APMS PCN DES Participation,"COMMISSIONING
PRC DELEGATED CO-",,POLLARD ROW SURGERY,32286172,1308.86
Department of Health,NHS Tower Hamlets CCG,31/05/2020,,PRC DELEGATED CO-,,POLLARD ROW SURGERY,32286172,2097
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-APMS Contract Value,"COMMISSIONING
PRC DELEGATED CO-",,POLLARD ROW SURGERY,32286172,50449
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS DES Violent Patients,"COMMISSIONING
PRC DELEGATED CO-",,PRIMARY CARE CENTRE(THE),32463944,44172.5
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS DES Violent Patients,"COMMISSIONING
PRC DELEGATED CO-",,PRIMARY CARE CENTRE(THE),32463955,66258.75
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS QOF Aspiration,,,ST STEPHENS HEALTH CENTRE LONDON,32402654,7740.64
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS Global Sum,,,ST STEPHENS HEALTH CENTRE LONDON,32402654,107711.17
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS PCN DES Participation,,,STROUDLY WALK,32402648,1224.82
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS Global Sum,,,STROUDLY WALK,32402648,33270.64
Department of Health,NHS Tower Hamlets CCG,31/05/2020,ME-GMS GP Prior Year EEs,,,STROUTS PLACE MEDICAL CENTRE,32402649,-12973.08
Department of Health,NHS Tower Hamlets CCG,31/05/2020,ME-GMS GP Pension ERs Adjustments,,,STROUTS PLACE MEDICAL CENTRE,32402649,-4400.2
Department of Health,NHS Tower Hamlets CCG,31/05/2020,ME-GMS GP Pension EEs Adjustments,,,STROUTS PLACE MEDICAL CENTRE,32402649,-1081.09
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS PCN DES Participation,,,STROUTS PLACE MEDICAL CENTRE,32402649,-699.89
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS DES Learn Dsblty Hlth Chk,,,STROUTS PLACE MEDICAL CENTRE,32402650,1260
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS PCN DES Participation,,,STROUTS PLACE MEDICAL CENTRE,32402650,1618.48
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS Global Sum,,,STROUTS PLACE MEDICAL CENTRE,32402650,41956.4
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-,,TREDEGAR MEDICAL SURGERY,32402656,1562.28
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS PCN DES Clinical Director,"COMMISSIONING
PRC DELEGATED CO-",,TREDEGAR MEDICAL SURGERY,32402656,4028.28
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-,,TREDEGAR MEDICAL SURGERY,32402656,8090.04
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS PCN DES PCN support,"COMMISSIONING
LOCAL ENHANCED SERVICES",,TREDEGAR MEDICAL SURGERY,32402656,8369
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS Global Sum,"COMMISSIONING
PRC DELEGATED CO-",,TREDEGAR MEDICAL SURGERY,32402656,40526.41
Department of Health,NHS Tower Hamlets CCG,31/05/2020,"Baseline
C&M-GMS DES Learn Dsblty Hlth Chk",PRC DELEGATED CO-,,"TRUST
HARFORD HEALTH CENTRE",32402631,4200
Department of Health,NHS Tower Hamlets CCG,31/05/2020,"Baseline
Hcare Srv Rec Fdtn Trust-Contract",ACUTE COMMISSIONING,,"TRUST
KING`S COLLEGE HOSPITAL NHS FOUNDATION",32442696,-53926
Department of Health,NHS Tower Hamlets CCG,31/05/2020,,PROGRAMME PROJECTS,,,32245075,-700190.59
Department of Health,NHS Tower Hamlets CCG,31/05/2020,,LOCAL ENHANCED SERVICES,,,32242611,-42290.58
