query_string_n,verif_match
ACORN MEDICAL CENTRE,ACORN MEDICAL CENTRE
ACORNS CHILDRENS HOSPICE,ACORNS CHILDRENS HOSPICE
ACORNS CHILDRENS HOSPICE TRUST,ACORNS CHILDRENS HOSPICE TRUST
ACTION FOR ASD,ACTION FOR ASD
ACTION FOR BLIND PEOPLE,ACTION FOR BLIND PEOPLE
ACTION FOR CHILDREN,ACTION FOR CHILDREN
ACTION ON HEARING LOSS,ACTION ON HEARING LOSS
ACTION TOGETHER CIO,ACTION TOGETHER CIO
ACTIVE PATHWAYS LIMITED,ACTIVE PATHWAYS LIMITED
ACTIVECARE LIMITED,ACTIVECARE LIMITED
ADARA HEALTHCARE LIMITED,ADARA HEALTHCARE LIMITED
ADDACTION,ADDACTION
ADDERLEY GREEN MEDICAL SERVICES LIMITED,ADDERLEY GREEN MEDICAL SERVICES LIMITED
ADDINGTON MEDICAL PRACTICE,ADDINGTON MEDICAL PRACTICE
ADDINGTON ROAD SURGERY,ADDINGTON ROAD SURGERY
ADDLESHAW GODDARD LIMITED LIABILITY PARTNERSHIP,ADDLESHAW GODDARD LIMITED LIABILITY PARTNERSHIP
ADDVANCED SOLUTIONS COMMUNITY NETWORK COMMUNITY INTEREST COMPANY,ADDVANCED SOLUTIONS COMMUNITY NETWORK COMMUNITY INTEREST COMPANY
ADELAIDE CARE LIMITED,ADELAIDE CARE LIMITED
ADELAIDE HEALTHCARE LIMITED,ADELAIDE HEALTHCARE LIMITED
ADEN HOUSE LIMITED,ADEN HOUSE LIMITED
ADHD NORTH WEST,ADHD NORTH WEST
ADJUVO CARE AND SUPPORT LIMITED,ADJUVO CARE AND SUPPORT LIMITED
ADRIEL CARE LIMITED,ADRIEL CARE LIMITED
ADT WORKPLACE LIMITED,ADT WORKPLACE LIMITED
ADVANCED HEALTH AND CARE LIMITED,ADVANCED HEALTH AND CARE LIMITED
ADVANTAGE NURSING AGENCY LIMITED,ADVANTAGE NURSING AGENCY LIMITED
ADVINIA HEALTH CARE LIMITED,ADVINIA HEALTH CARE LIMITED
ADVISEINC LIMITED,ADVISEINC LIMITED
ADVISERPLUS BUSINESS SOLUTIONS LIMITED,ADVISERPLUS BUSINESS SOLUTIONS LIMITED
ADVOCACY EXPERIENCE LIMITED,ADVOCACY EXPERIENCE LIMITED
AEROCOM UK LIMITED,AEROCOM UK LIMITED
AFFINITY TRUST,AFFINITY TRUST
AGE CONCERN,AGE CONCERN
AGE CONCERN BIRMINGHAM,AGE CONCERN BIRMINGHAM
AGE CONCERN DUDLEY,AGE CONCERN DUDLEY
AGE CONCERN FAVERSHAM,AGE CONCERN FAVERSHAM
AGE CONCERN HAVERING,AGE CONCERN HAVERING
AGE CONCERN HILLINGDON,AGE CONCERN HILLINGDON
AGE CONCERN KINGSTON UPON THAMES,AGE CONCERN KINGSTON UPON THAMES
AGE CONCERN LIVERPOOL AND SEFTON,AGE CONCERN LIVERPOOL AND SEFTON
AGE UK BARNSLEY,AGE UK BARNSLEY
AGE UK BLACKBURN WITH DARWEN,AGE UK BLACKBURN WITH DARWEN
AGE UK BOLTON,AGE UK BOLTON
AGE UK BRIGHTON AND HOVE,AGE UK BRIGHTON AND HOVE
AGE UK CAMDEN,AGE UK CAMDEN
AGE UK CANTERBURY,AGE UK CANTERBURY
AGE UK CHESHIRE,AGE UK CHESHIRE
AGE UK CROYDON,AGE UK CROYDON
AGE UK EAST LONDON,AGE UK EAST LONDON
AGE UK EAST SUSSEX,AGE UK EAST SUSSEX
AGE UK GLOUCESTERSHIRE,AGE UK GLOUCESTERSHIRE
AGE UK HERNE BAY,AGE UK HERNE BAY
AGE UK HERTFORDSHIRE,AGE UK HERTFORDSHIRE
AGE UK ISLE OF WIGHT,AGE UK ISLE OF WIGHT
AGE UK LAMBETH,AGE UK LAMBETH
AGE UK LANCASHIRE,AGE UK LANCASHIRE
AGE UK MILTON KEYNES,AGE UK MILTON KEYNES
AGE UK NORTH YORKSHIRE,AGE UK NORTH YORKSHIRE
AGE UK NOTTINGHAM AND NOTTINGHAMSHIRE,AGE UK NOTTINGHAM AND NOTTINGHAMSHIRE
AGE UK PORTSMOUTH,AGE UK PORTSMOUTH
AGE UK REDBRIDGE,AGE UK REDBRIDGE
AGE UK SHEFFIELD,AGE UK SHEFFIELD
AGE UK SHROPSHIRE TELFORD AND WREKIN,AGE UK SHROPSHIRE TELFORD AND WREKIN
AGE UK SOUTH LAKELAND,AGE UK SOUTH LAKELAND
AGE UK TAMESIDE,AGE UK TAMESIDE
AGE UK WAKEFIELD DISTRICT,AGE UK WAKEFIELD DISTRICT
AGE UK WALTHAM FOREST,AGE UK WALTHAM FOREST
AGE UK WEST SUSSEX,AGE UK WEST SUSSEX
AGE UK WILTSHIRE,AGE UK WILTSHIRE
AGORA GYNAECOLOGY AND FERTILITY CENTRE LIMITED,AGORA GYNAECOLOGY AND FERTILITY CENTRE LIMITED
AH ANALYSIS LIMITED,AH ANALYSIS LIMITED
AIDSERVICE LIMITED,AIDSERVICE LIMITED
AINSDALE MEDICAL CENTRE,AINSDALE MEDICAL CENTRE
AINSDALE VILLAGE SURGERY,AINSDALE VILLAGE SURGERY
AIR BALLOON SURGERY,AIR BALLOON SURGERY
AIREDALE NHS FOUNDATION TRUST,AIREDALE NHS FOUNDATION TRUST
AITCH CARE HOMES LONDON LIMITED,AITCH CARE HOMES LONDON LIMITED
AKERMAN MEDICAL PRACTICE,AKERMAN MEDICAL PRACTICE
ALABARE CHRISTIAN CARE CENTRES,ALABARE CHRISTIAN CARE CENTRES
ALAMAC LIMITED,ALAMAC LIMITED
ALBION HEALTH CENTRE,ALBION HEALTH CENTRE
ALBION IN THE COMMUNITY,ALBION IN THE COMMUNITY
ALBION MEDICAL PRACTICE,ALBION MEDICAL PRACTICE
ALBION PLACE MEDICAL PRACTICE,ALBION PLACE MEDICAL PRACTICE
ALBION SURGERY,ALBION SURGERY
ALCURA UK LIMITED,ALCURA UK LIMITED
ALDANAT CARE LIMITED,ALDANAT CARE LIMITED
ALDER HEY CHILDRENS NHS FOUNDATION TRUST,ALDER HEY CHILDRENS NHS FOUNDATION TRUST
ALDERSBROOK MEDICAL CENTRE,ALDERSBROOK MEDICAL CENTRE
ALDERWOOD LLA LIMITED,ALDERWOOD LLA LIMITED
ALINA HOMECARE LIMITED,ALINA HOMECARE LIMITED
ALIUM PARTNERS LIMITED,ALIUM PARTNERS LIMITED
ALL HALLOWS HEALTHCARE TRUST,ALL HALLOWS HEALTHCARE TRUST
ALLIANCE FOR BETTER CARE LIMITED,ALLIANCE FOR BETTER CARE LIMITED
ALLIANCE HEALTHCARE DISTRIBUTION LIMITED,ALLIANCE HEALTHCARE DISTRIBUTION LIMITED
ALLIANCE MEDICAL LIMITED,ALLIANCE MEDICAL LIMITED
ALLIANCE PSYCHOLOGICAL SERVICES LIMITED,ALLIANCE PSYCHOLOGICAL SERVICES LIMITED
ALLIED HEALTH PROFESSIONALS SUFFOLK COMMUNITY INTEREST COMPANY,ALLIED HEALTH PROFESSIONALS SUFFOLK COMMUNITY INTEREST COMPANY
ALLIED HEALTH SOUTH LINCOLNSHIRE LIMITED,ALLIED HEALTH SOUTH LINCOLNSHIRE LIMITED
ALLIED HEALTHCARE GROUP LIMITED,ALLIED HEALTHCARE GROUP LIMITED
ALLOCATE SOFTWARE LIMITED,ALLOCATE SOFTWARE LIMITED
ALMA MEDICAL CENTRE,ALMA MEDICAL CENTRE
ALMOND CARE PROVIDERS LIMITED,ALMOND CARE PROVIDERS LIMITED
ALMOND VILLAS LIMITED,ALMOND VILLAS LIMITED
ALMONDSBURY CARE LIMITED,ALMONDSBURY CARE LIMITED
ALMONDSBURY SURGERY,ALMONDSBURY SURGERY
ALPHA HEALTH CARE LIMITED,ALPHA HEALTH CARE LIMITED
ALPHACARE HOLDINGS LIMITED,ALPHACARE HOLDINGS LIMITED
ALSCIENT LIMITED,ALSCIENT LIMITED
ALSTON MEDICAL PRACTICE,ALSTON MEDICAL PRACTICE
ALTON STREET SURGERY,ALTON STREET SURGERY
ALVELEY MEDICAL PRACTICE,ALVELEY MEDICAL PRACTICE
ALZHEIMERS SOCIETY,ALZHEIMERS SOCIETY
ALZHEIMERS SUPPORT,ALZHEIMERS SUPPORT
AMARA CARE LIMITED,AMARA CARE LIMITED
AMBAR MEDICAL CENTRE,AMBAR MEDICAL CENTRE
AMBER HEALTHCARE SERVICES LIMITED,AMBER HEALTHCARE SERVICES LIMITED
AMBROSE AVENUE GROUP PRACTICE,AMBROSE AVENUE GROUP PRACTICE
AMBULINE LIMITED,AMBULINE LIMITED
AMCARE LIMITED,AMCARE LIMITED
AMEGREEN COMPLEX HOMECARE LIMITED,AMEGREEN COMPLEX HOMECARE LIMITED
AMEY OW LIMITED,AMEY OW LIMITED
AMG CONSULTANCY SERVICES LIMITED,AMG CONSULTANCY SERVICES LIMITED
AMOCURA LIMITED,AMOCURA LIMITED
AMPTHILL PRACTICE,AMPTHILL PRACTICE
AMS CARE LIMITED,AMS CARE LIMITED
AMS CARE WILTSHIRE LIMITED,AMS CARE WILTSHIRE LIMITED
AMVALE MEDICAL TRANSPORT LIMITED,AMVALE MEDICAL TRANSPORT LIMITED
ANAPLAN LIMITED,ANAPLAN LIMITED
ANCHOR CAREHOMES LIMITED,ANCHOR CAREHOMES LIMITED
ANCHOR TRUST,ANCHOR TRUST
ANGEL SURGERY,ANGEL SURGERY
ANGELIC CARE RESOURCING LIMITED,ANGELIC CARE RESOURCING LIMITED
ANGLIA COMMUNITY EYE SERVICE,ANGLIA COMMUNITY EYE SERVICE
ANGLIA RUSKIN UNIVERSITY,ANGLIA RUSKIN UNIVERSITY
ANNANDALE MEDICAL CENTRE,ANNANDALE MEDICAL CENTRE
ANNICARE LIMITED,ANNICARE LIMITED
ANOTO LIMITED,ANOTO LIMITED
ANTBITS LIMITED,ANTBITS LIMITED
APEX CARE HOMES LIMITED,APEX CARE HOMES LIMITED
APOGEE CORPORATION LIMITED,APOGEE CORPORATION LIMITED
APOLLO MEDICAL SOFTWARE SOLUTIONS LIMITED,APOLLO MEDICAL SOFTWARE SOLUTIONS LIMITED
APPLE TREE MEDICAL PRACTICE,APPLE TREE MEDICAL PRACTICE
APPLETON VILLAGE SURGERY,APPLETON VILLAGE SURGERY
APPLIED INFORMATICS LIMITED,APPLIED INFORMATICS LIMITED
APPROACH,APPROACH
APRIROSE LIMITED,APRIROSE LIMITED
APSLEY SURGERY,APSLEY SURGERY
APTELIGEN LIMITED,APTELIGEN LIMITED
AQUARIUS,AQUARIUS
ARCADIS CONSULTING UK LIMITED,ARCADIS CONSULTING UK LIMITED
ARCADIS LIMITED LIABILITY PARTNERSHIP,ARCADIS LIMITED LIABILITY PARTNERSHIP
ARCH,ARCH
ARCH HEALTH COMMUNITY INTEREST COMPANY,ARCH HEALTH COMMUNITY INTEREST COMPANY
ARCHIVE MANAGEMENT SYSTEMS LIMITED,ARCHIVE MANAGEMENT SYSTEMS LIMITED
ARCHUS LIMITED,ARCHUS LIMITED
ARDEN ESTATE PARTNERSHIPS LIMITED,ARDEN ESTATE PARTNERSHIPS LIMITED
ARDENS HEALTH INFORMATICS LIMITED,ARDENS HEALTH INFORMATICS LIMITED
ARDINGLY COURT SURGERY,ARDINGLY COURT SURGERY
ARGYLE HEALTH ISLEWORTH LIMITED,ARGYLE HEALTH ISLEWORTH LIMITED
ARONEL COTTAGE CARE HOME LIMITED,ARONEL COTTAGE CARE HOME LIMITED
ARRIVA TRANSPORT SOLUTIONS LIMITED,ARRIVA TRANSPORT SOLUTIONS LIMITED
ART SHAPE LIMITED,ART SHAPE LIMITED
ARTHUR RANK HOSPICE CHARITY,ARTHUR RANK HOSPICE CHARITY
ARTLIFT,ARTLIFT
ARUNDEL SURGERY,ARUNDEL SURGERY
ASC HEALTHCARE LIMITED,ASC HEALTHCARE LIMITED
ASCOT REHABILITATION LIMITED,ASCOT REHABILITATION LIMITED
ASEPTIKA LIMITED,ASEPTIKA LIMITED
ASH TREES SURGERY,ASH TREES SURGERY
ASHA HEALTHCARE SUTTON IN ASHFIELD LIMITED,ASHA HEALTHCARE SUTTON IN ASHFIELD LIMITED
ASHBERRY HEALTHCARE LIMITED,ASHBERRY HEALTHCARE LIMITED
ASHBURTON PRESCRIBING CONSULTANTS LIMITED,ASHBURTON PRESCRIBING CONSULTANTS LIMITED
ASHFIELD MEDICAL CENTRE,ASHFIELD MEDICAL CENTRE
ASHFORD CLINICAL PROVIDERS LIMITED,ASHFORD CLINICAL PROVIDERS LIMITED
ASHINGDON MEDICAL CENTRE,ASHINGDON MEDICAL CENTRE
ASHLEA MEDICAL PRACTICE,ASHLEA MEDICAL PRACTICE
ASHLEY SURGERY,ASHLEY SURGERY
ASHTON GP SERVICE,ASHTON GP SERVICE
ASHTON LODGE LIMITED,ASHTON LODGE LIMITED
ASHTON MEDICAL GROUP,ASHTON MEDICAL GROUP
ASHURST PRIMARY CARE,ASHURST PRIMARY CARE
ASHWELL SURGERY,ASHWELL SURGERY
ASIST,ASIST
ASPATRIA MEDICAL GROUP,ASPATRIA MEDICAL GROUP
ASPEN HEALTHCARE LIMITED,ASPEN HEALTHCARE LIMITED
ASPEN MEDICAL PRACTICE,ASPEN MEDICAL PRACTICE
ASPENS CHARITIES,ASPENS CHARITIES
ASPIRE CARE SUPPORT SERVICES LIMITED,ASPIRE CARE SUPPORT SERVICES LIMITED
ASPLANDS MEDICAL CENTRE,ASPLANDS MEDICAL CENTRE
ASPULL SURGERY,ASPULL SURGERY
ASSISTED LIVING SOLUTIONS LIMITED,ASSISTED LIVING SOLUTIONS LIMITED
ASSOCIATE DEVELOPMENT SOLUTIONS LIMITED,ASSOCIATE DEVELOPMENT SOLUTIONS LIMITED
ASSOCIATED CHEMISTS WICKER LIMITED,ASSOCIATED CHEMISTS WICKER LIMITED
ASSOCIATION OF COLLEGES,ASSOCIATION OF COLLEGES
ASSURA MEDICAL CENTRES LIMITED,ASSURA MEDICAL CENTRES LIMITED
ASSURA PROPERTIES PUBLIC LIMITED COMPANY,ASSURA PROPERTIES PUBLIC LIMITED COMPANY
ASSURED DATA PROTECTION LIMITED,ASSURED DATA PROTECTION LIMITED
ASTLEY GRANGE HOMES LIMITED,ASTLEY GRANGE HOMES LIMITED
ASTON CARE LIMITED,ASTON CARE LIMITED
ASTON HEALTHCARE LIMITED,ASTON HEALTHCARE LIMITED
ASTRACARE UK LIMITED,ASTRACARE UK LIMITED
AT MEDICS THE LOXFORD PRACTICE,AT MEDICS THE LOXFORD PRACTICE
ATHENA MEDICAL CENTRE,ATHENA MEDICAL CENTRE
ATOS IT SERVICES UK LIMITED,ATOS IT SERVICES UK LIMITED
ATTAIN HEALTH MANAGEMENT SERVICES LIMITED,ATTAIN HEALTH MANAGEMENT SERVICES LIMITED
ATTENBOROUGH SURGERY,ATTENBOROUGH SURGERY
AUCKLAND MEDICAL GROUP,AUCKLAND MEDICAL GROUP
AUCKLAND SURGERY,AUCKLAND SURGERY
AUDIT COMMS LIMITED,AUDIT COMMS LIMITED
AUDLEM MEDICAL PRACTICE,AUDLEM MEDICAL PRACTICE
AUGHTON SURGERY,AUGHTON SURGERY
AUTISM CARE UK LIMITED,AUTISM CARE UK LIMITED
AUTISM SUSSEX LIMITED,AUTISM SUSSEX LIMITED
AUTUMN HOUSE NURSING HOME LIMITED,AUTUMN HOUSE NURSING HOME LIMITED
AVALON,AVALON
AVENTIS SOLUTIONS LIMITED,AVENTIS SOLUTIONS LIMITED
AVERY AT THE MIRAMAR OPERATIONS LIMITED,AVERY AT THE MIRAMAR OPERATIONS LIMITED
AVERY HOMES CANNOCK LIMITED,AVERY HOMES CANNOCK LIMITED
AVERY HOMES NELSON LIMITED,AVERY HOMES NELSON LIMITED
AVH LEGAL LIMITED LIABILITY PARTNERSHIP,AVH LEGAL LIMITED LIABILITY PARTNERSHIP
AVISFORD MEDICAL GROUP,AVISFORD MEDICAL GROUP
AVIVA INVESTORS PENSIONS LIMITED,AVIVA INVESTORS PENSIONS LIMITED
AVOCET,AVOCET
AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST
AVON VALLEY PRACTICE,AVON VALLEY PRACTICE
AVONDALE NURSING HOME,AVONDALE NURSING HOME
AW SURGERIES,AW SURGERIES
AWBURN HOUSE MEDICAL PRACTICE,AWBURN HOUSE MEDICAL PRACTICE
AXIS COUNSELLING,AXIS COUNSELLING
AXON MOORE LIMITED,AXON MOORE LIMITED
AYLESFORD MEDICAL CENTRE,AYLESFORD MEDICAL CENTRE
AZZURRI COMMUNICATIONS LIMITED,AZZURRI COMMUNICATIONS LIMITED
B BRAUN STERILOG YORKSHIRE LIMITED,B BRAUN STERILOG YORKSHIRE LIMITED
BADDOW HOSPITAL,BADDOW HOSPITAL
BADGER HEALTHCARE LIMITED,BADGER HEALTHCARE LIMITED
BADGER MEDICAL LIMITED,BADGER MEDICAL LIMITED
BADGER MIDLANDS MEDICAL LIMITED,BADGER MIDLANDS MEDICAL LIMITED
BADGERSWOOD SURGERY,BADGERSWOOD SURGERY
BAILEY AND MOORE SOLUTIONS LIMITED,BAILEY AND MOORE SOLUTIONS LIMITED
BALAAM STREET PRACTICE,BALAAM STREET PRACTICE
BALANCE SUPPORT COMMUNITY INTEREST COMPANY,BALANCE SUPPORT COMMUNITY INTEREST COMPANY
BALCOMBE CARE HOMES LIMITED,BALCOMBE CARE HOMES LIMITED
BALDWINS LANE SURGERY,BALDWINS LANE SURGERY
BALFOUR ROAD SURGERY,BALFOUR ROAD SURGERY
BALKERNE GARDENS TRUST LIMITED,BALKERNE GARDENS TRUST LIMITED
BALL TREE SURGERY,BALL TREE SURGERY
BALMORE PARK SURGERY,BALMORE PARK SURGERY
BALSALL COMMON AND MERIDEN GROUP PRACTICE,BALSALL COMMON AND MERIDEN GROUP PRACTICE
BANCROFT MEDICAL CENTRE,BANCROFT MEDICAL CENTRE
BAND,BAND
BANNER GROUP LIMITED,BANNER GROUP LIMITED
BANNOCKBURN SURGERY,BANNOCKBURN SURGERY
BARCHESTER HEALTHCARE HOMES LIMITED,BARCHESTER HEALTHCARE HOMES LIMITED
BARCHESTER HEALTHCARE LIMITED,BARCHESTER HEALTHCARE LIMITED
BARKING AND DAGENHAM CITIZENS ADVICE BUREAU,BARKING AND DAGENHAM CITIZENS ADVICE BUREAU
BARKING DAGENHAM HAVERING COMMUNITY VENTURES LIMITED,BARKING DAGENHAM HAVERING COMMUNITY VENTURES LIMITED
BARLOW ROBBINS LIMITED LIABILITY PARTNERSHIP,BARLOW ROBBINS LIMITED LIABILITY PARTNERSHIP
BARN SURGERY,BARN SURGERY
BARNARD CASTLE SURGERY,BARNARD CASTLE SURGERY
BARNARDOS,BARNARDOS
BARNBY GATE SURGERY,BARNBY GATE SURGERY
BARNDOC HEALTHCARE LIMITED,BARNDOC HEALTHCARE LIMITED
BARNET ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST,BARNET ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST
BARNET FEDERATED GPS LIMITED,BARNET FEDERATED GPS LIMITED
BARNHAM MANOR LIMITED,BARNHAM MANOR LIMITED
BARNSLEY HOSPICE,BARNSLEY HOSPICE
BARNSLEY HOSPITAL NHS FOUNDATION TRUST,BARNSLEY HOSPITAL NHS FOUNDATION TRUST
BARNSLEY INDEPENDENT ALZHEIMERS AND DEMENTIA SUPPORT,BARNSLEY INDEPENDENT ALZHEIMERS AND DEMENTIA SUPPORT
BARNSLEY METROPOLITAN BOROUGH COUNCIL,BARNSLEY METROPOLITAN BOROUGH COUNCIL
BARNSLEY ROAD SURGERY,BARNSLEY ROAD SURGERY
BARONS PARK NURSING HOME LIMITED,BARONS PARK NURSING HOME LIMITED
BARTON HOUSE GROUP PRACTICE,BARTON HOUSE GROUP PRACTICE
BARTS HEALTH NHS TRUST,BARTS HEALTH NHS TRUST
BASIC,BASIC
BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST
BASILDON MIND,BASILDON MIND
BATH FERTILITY CENTRE LIMITED,BATH FERTILITY CENTRE LIMITED
BATTERSEA HEALTHCARE COMMUNITY INTEREST COMPANY,BATTERSEA HEALTHCARE COMMUNITY INTEREST COMPANY
BAUER RADIO LIMITED,BAUER RADIO LIMITED
BAXTER HEALTHCARE LIMITED,BAXTER HEALTHCARE LIMITED
BAY MEDICAL GROUP,BAY MEDICAL GROUP
BAYER PUBLIC LIMITED COMPANY,BAYER PUBLIC LIMITED COMPANY
BAYTREE SCHOOL,BAYTREE SCHOOL
BAYTREES HOMES LIMITED,BAYTREES HOMES LIMITED
BB HEALTHCARE SOLUTIONS,BB HEALTHCARE SOLUTIONS
BBHSWL FUNDCO 3 LIMITED,BBHSWL FUNDCO 3 LIMITED
BC SHEFFIELD LIMITED,BC SHEFFIELD LIMITED
BDO LIMITED LIABILITY PARTNERSHIP,BDO LIMITED LIABILITY PARTNERSHIP
BEACON HOUSE,BEACON HOUSE
BEACON HOUSE MINISTRIES,BEACON HOUSE MINISTRIES
BEACON MEDICAL,BEACON MEDICAL
BEACON PRIMARY CARE,BEACON PRIMARY CARE
BEACONSFIELD MEDICAL PRACTICE,BEACONSFIELD MEDICAL PRACTICE
BEASANT MANAGEMENT LIMITED,BEASANT MANAGEMENT LIMITED
BEAT,BEAT
BEAUMOND HOUSE COMMUNITY HOSPICE,BEAUMOND HOUSE COMMUNITY HOSPICE
BECKEDGE LIMITED,BECKEDGE LIMITED
BECKETT HOUSE PRACTICE,BECKETT HOUSE PRACTICE
BEDFORD BOROUGH COUNCIL,BEDFORD BOROUGH COUNCIL
BEDFORD HOSPITAL NHS TRUST,BEDFORD HOSPITAL NHS TRUST
BEDFORD STREET SURGERY,BEDFORD STREET SURGERY
BEDMINSTER FAMILY PRACTICE,BEDMINSTER FAMILY PRACTICE
BEDWELL MEDICAL CENTRE,BEDWELL MEDICAL CENTRE
BEECH CLIFFE LIMITED,BEECH CLIFFE LIMITED
BEECH GROVE MEDICAL PRACTICE,BEECH GROVE MEDICAL PRACTICE
BEECH GROVE SURGERY,BEECH GROVE SURGERY
BEECH MEADOWS HOMES LIMITED,BEECH MEADOWS HOMES LIMITED
BEECH TREE SURGERY,BEECH TREE SURGERY
BEECHES MEDICAL CENTRE,BEECHES MEDICAL CENTRE
BEECHES MEDICAL PRACTICE,BEECHES MEDICAL PRACTICE
BEECHWOOD COURT LIMITED,BEECHWOOD COURT LIMITED
BEECHWOOD GROUP PRACTICE,BEECHWOOD GROUP PRACTICE
BEECHWOOD MEDICAL CENTRE,BEECHWOOD MEDICAL CENTRE
BEECHWOOD MEDICAL PRACTICE,BEECHWOOD MEDICAL PRACTICE
BEHAVIOURAL INSIGHTS LIMITED,BEHAVIOURAL INSIGHTS LIMITED
BELFORD MEDICAL PRACTICE,BELFORD MEDICAL PRACTICE
BELGRAVE MEDICAL CENTRE,BELGRAVE MEDICAL CENTRE
BELGRAVIA SURGERY,BELGRAVIA SURGERY
BELMONT AND SHERBURN MEDICAL GROUP,BELMONT AND SHERBURN MEDICAL GROUP
BELMONT MEDICAL CENTRE,BELMONT MEDICAL CENTRE
BELVEDERE MEDICAL CENTRE,BELVEDERE MEDICAL CENTRE
BELVIDERE NURSING HOME LIMITED,BELVIDERE NURSING HOME LIMITED
BELVOIR HEALTH GROUP,BELVOIR HEALTH GROUP
BENCHMARK MANAGEMENT CONSULTING LIMITED,BENCHMARK MANAGEMENT CONSULTING LIMITED
BENNETTS END SURGERY,BENNETTS END SURGERY
BENONI NURSING HOME LIMITED,BENONI NURSING HOME LIMITED
BENRIDGE CARE HOMES LIMITED,BENRIDGE CARE HOMES LIMITED
BENTHAM MEDICAL PRACTICE,BENTHAM MEDICAL PRACTICE
BENTHAM ROAD HEALTH CENTRE,BENTHAM ROAD HEALTH CENTRE
BENTLEY MEDICAL PRACTICE,BENTLEY MEDICAL PRACTICE
BERENDSEN HEALTHCARE LIMITED,BERENDSEN HEALTHCARE LIMITED
BERKHAMSTED GROUP PRACTICE,BERKHAMSTED GROUP PRACTICE
BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST
BERRY LANE MEDICAL CENTRE,BERRY LANE MEDICAL CENTRE
BERRYLANDS SURGERY,BERRYLANDS SURGERY
BERRYSTEAD NURSING AND RESIDENTIAL HOME LIMITED,BERRYSTEAD NURSING AND RESIDENTIAL HOME LIMITED
BERSTED GREEN SURGERY,BERSTED GREEN SURGERY
BESPOKE HEALTH AND SOCIAL CARE LIMITED,BESPOKE HEALTH AND SOCIAL CARE LIMITED
BESPOKE HEALTHCARE LIMITED,BESPOKE HEALTHCARE LIMITED
BETHANY MEDICAL CENTRE,BETHANY MEDICAL CENTRE
BETHEL HEALTH AND HEALING NETWORK,BETHEL HEALTH AND HEALING NETWORK
BETHESDA MEDICAL CENTRE,BETHESDA MEDICAL CENTRE
BETSI CADWALADR UNIVERSITY LHB,BETSI CADWALADR UNIVERSITY LHB
BETTERPOINTS LIMITED,BETTERPOINTS LIMITED
BEVAN BRITTAN LIMITED LIABILITY PARTNERSHIP,BEVAN BRITTAN LIMITED LIABILITY PARTNERSHIP
