Dept Family,Organisation Name,Accounting Year,Period,Dater,Transaction Number,Supplier,VAT Registration Number,Expense Area,Expense type,Amount
Department of Health,Royal Free London NHS Foundation Trust,2020,4,03/07/2020,1467628,Aah Pharmaceutical Ltd,546573322,Tw:Balance Sheet,Pharmacy Issues & Receipts,"48,523.68"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,03/07/2020,1467714,Biotest Uk Ltd,,Tw:Balance Sheet,Pharmacy Issues & Receipts,"39,900.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,03/07/2020,1467734,Csl Behring,583602338,Tw:Balance Sheet,Pharmacy Issues & Receipts,"88,200.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,03/07/2020,1468161,Alliance Healthcare (Distribution) Ltd,391532058,Tw:Balance Sheet,Pharmacy Issues & Receipts,"33,600.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,03/07/2020,1468166,Alliance Healthcare (Distribution) Ltd,391532058,Tw:Balance Sheet,Pharmacy Issues & Receipts,"28,800.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,03/07/2020,1468273,Alliance Healthcare (Distribution) Ltd,391532058,Tw:Balance Sheet,Pharmacy Issues & Receipts,"57,600.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,03/07/2020,1468737,Healthcare At Home Ltd,873342418,Tw:Balance Sheet,Pharmacy Issues & Receipts,"-244,541.74"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,03/07/2020,1469445,Bevan Brittan Llp,840723148,Tw:Clinical Risk + Safety,Legal Costs,"29,869.32"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,03/07/2020,1469887,Specialist Computer Centres Plc,313651680,Tw:Patient Systems,Office Equipment,"60,012.31"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,03/07/2020,1469942,Mri - Devices Ltd,915885291,Rf:Mri Anaesthetic Monitor-336,Med&Surg Equipment,"69,000.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,03/07/2020,1470030,Cfes Limited,876320218,Tw:Nightingale Ward (Excel),Building Contracts,"600,000.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,03/07/2020,1470032,Cfes Limited,876320218,Tw:Nightingale Ward (Excel),Building Contracts,"521,396.64"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,03/07/2020,17401,Shire Pharmaceuticals Ltd,,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,"25,200.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,06/07/2020,1466193,Nhs Resolution,,Rf:Projects,Insurance Costs,"2,759,807.20"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,06/07/2020,1466193,Nhs Resolution,,Tw:Clinical Risk + Safety,Insurance Costs,"58,902.70"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,07/07/2020,17675,Alloga Uk,684090520,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,"66,099.60"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,09/07/2020,1432642,Cbre Ltd,,Cd:Decontamination Services,Rent,"89,456.51"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,09/07/2020,1474125,Cbre Ltd,,Bh:Sterile Services,Rent,"-89,456.51"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,10/07/2020,1436510,Rfl Property Services Limited,,Tw:Balance Sheet,Property Services Finance Leas,"1,828,800.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,10/07/2020,1445134,Mis Healthcare,707398315,Bh:Breast Screen,Radiology Equipment,"118,200.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,10/07/2020,1445142,Eddisons Commercial Property Management Ltd,927176015,Th:Tottenham Kcc-Dialysis,Rent,"97,379.03"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,10/07/2020,1448790,Rfl Property Services Limited,,Rf:Property Services,Ic Management Service,"71,002.80"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,10/07/2020,1449299,Rfl Property Services Limited,,Tw:Balance Sheet,Property Services Finance Leas,"1,828,800.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,10/07/2020,1453124,Philips Healthcare (Surrey),407850060,Tw:Patient Systems,Other Non-Clinical Supplies,"68,358.32"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,10/07/2020,1453263,Logan Construction (Se) Ltd,674915890,Rf:Ward Refurbishment,Building Contracts,"140,221.86"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,10/07/2020,1454008,Cec Healthcare Coding Ltd,215249033,Tw:Clinical Coding,Other Non-Clinical Supplies,"48,086.40"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,10/07/2020,1457723,Sharpsmart Ltd,801449649,Rf:Waste Management,Refuse Collection-Clinical,"240,000.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,10/07/2020,1464633,Rfl Property Services Limited,,Rf:Ih Catering Restaurant,Ic Ih Catering Retail,"843,355.20"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,10/07/2020,1464633,Rfl Property Services Limited,,Rf:Ih Catering Restaurant,Ic Management Fee,"43,011.60"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,10/07/2020,1464668,Utilyx Healthcare Energy Services Ltd,416706654,Rf:Energy,Energy Management Contracts,"150,978.30"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,10/07/2020,1464669,Utilyx Healthcare Energy Services Ltd,416706654,Rf:Energy,Energy Management Contracts,"150,978.30"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,10/07/2020,1464921,University College London,524371168,Tw:R+D Manager,Other Med - Recharge In,"25,201.92"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,10/07/2020,1466183,Ernst & Young Llp,773831408,Tw:Financial Director,Consultancy Fees,"36,000.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,10/07/2020,1466220,Lloydspharmacy Clinical Homecare,222516987,Tw:Balance Sheet,Pharmacy Issues & Receipts,"51,825.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,10/07/2020,1466242,Lloydspharmacy Clinical Homecare,222516987,Tw:Balance Sheet,Pharmacy Issues & Receipts,"44,366.44"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,10/07/2020,1466277,Lloydspharmacy Clinical Homecare,222516987,Tw:Balance Sheet,Pharmacy Issues & Receipts,"43,885.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,10/07/2020,1467274,Pharmaxo Pharmacy Services Ltd,210696424,Tw:Balance Sheet,Pharmacy Issues & Receipts,"32,165.40"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,10/07/2020,1468043,Roche Products Ltd,600358871,Tw:Balance Sheet,Pharmacy Issues & Receipts,"34,451.28"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,10/07/2020,1468084,Alloga Uk,684090520,Tw:Balance Sheet,Pharmacy Issues & Receipts,"27,120.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,10/07/2020,1469708,The Richard Stephens Partnership,822082262,Tw:Nightingale Ward (Excel),Building Contracts,"27,985.86"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,10/07/2020,1469855,Haverstock Healthcare Ltd,215028936,Rf:A & E Nursing,Services Ccgs Clinical,"75,021.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,10/07/2020,1471101,Bayer Plc,641958611,Tw:Balance Sheet,Pharmacy Issues & Receipts,"36,498.24"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,10/07/2020,1471269,Macfarlan Smith Ltd,,Tw:Balance Sheet,Pharmacy Issues & Receipts,"36,000.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,10/07/2020,1471506,Shire Pharmaceuticals Ltd,,Tw:Balance Sheet,Pharmacy Issues & Receipts,"77,095.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,10/07/2020,1472880,Healthnet Homecare (Uk) Ltd,9279257756,Tw:Balance Sheet,Pharmacy Issues & Receipts,"32,292.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,10/07/2020,1473840,Premier Inn Business Account,243292864,Rf:Accommodation-Pay,Patient Hotel Accommodation,"58,916.51"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,10/07/2020,1474124,Keystream Healthcare Resources Ltd,105919025,Tw:Information Man And Tech,Other Non-Clinical Supplies,"45,281.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,10/07/2020,17368,Janssen-Cilag Ltd,207929448,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,"41,665.92"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,10/07/2020,17466,Otsuka Pharmaceutical Europe Ltd,720417177,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,"37,695.84"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,10/07/2020,17592,Alcura Uk Ltd,603992727,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,"27,444.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,10/07/2020,17615,Janssen-Cilag Ltd,207929448,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,"27,449.95"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,10/07/2020,17617,Janssen-Cilag Ltd,207929448,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,"34,074.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,10/07/2020,3046,Compass Contract Services (Uk) Limited,466477701,Tw:Soft Fm Contracts,Other Soft Fm Contracts,"94,074.08"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,10/07/2020,3048,Compass Contract Services (Uk) Limited,466477701,Tw:Soft Fm Contracts,Other Soft Fm Contracts,"142,729.97"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,10/07/2020,3049,Compass Contract Services (Uk) Limited,466477701,Tw:Soft Fm Contracts,Other Soft Fm Contracts,"88,238.96"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,10/07/2020,3050,Compass Contract Services (Uk) Limited,466477701,Tw:Soft Fm Contracts,Other Soft Fm Contracts,"321,515.30"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,10/07/2020,3055,Compass Contract Services (Uk) Limited,466477701,Tw:Soft Fm Contracts,Other Soft Fm Contracts,"105,000.41"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,16/07/2020,1477887,Hmrc Cumbernauld,,Tw:Balance Sheet,Creditors - Income Tax,"7,059,119.48"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,16/07/2020,1477890,Hmrc Cumbernauld,,Tw:Balance Sheet,Creditors-Nat Insurance-Ees,"3,325,226.87"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,16/07/2020,1477892,Hmrc Cumbernauld,,Tw:Balance Sheet,Creditors-Nat Insurance-Ers,"4,486,565.11"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,16/07/2020,3128,Hmrc Cumbernauld,,Tw:Balance Sheet-Property Serv,Creditors - Income Tax,"37,505.16"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,17/07/2020,1368966,Nhs Pensions,654434729,Tw:Balance Sheet,Early Retirement > 1 Year,"129,475.47"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,17/07/2020,1372622,Kcom Group Ltd,647235137,Tw:It Infrastructure,It Maintenance,"31,459.05"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,17/07/2020,1412191,Rfl Dispensary Services Ltd,320084155,Rf:Dispensary Services,Ic Management Service,"101,151.60"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,17/07/2020,1412195,Rfl Dispensary Services Ltd,320084155,Rf:Dispensary Services,Ic Management Service,"100,353.70"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,17/07/2020,1413024,Rfl Property Services Limited,,Rf:Rfh Transport,Ic Management Service,"43,337.52"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,17/07/2020,1431813,Barts Health Nhs Trust,654947005,Bh:Celbss Breast Screening,Consultant - Recharge In,"50,614.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,17/07/2020,1443787,Barts Health Nhs Trust,654947005,Bh:Celbss Breast Screening,Consultant-Nhs,"44,789.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,17/07/2020,1444755,Barts Health Nhs Trust,654947005,Bh:Celbss Breast Screening,Consultant-Nhs,"55,777.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,17/07/2020,1445000,Supply Chain Coordination Ltd (Maintenance),290885854,Rf:Engineering,Eng Mnt-Ext Repairs,"27,622.90"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,17/07/2020,1445162,Barts Health Nhs Trust,654947005,Bh:Celbss Breast Screening,Ahp Recharges In,"-42,334.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,17/07/2020,1445171,Barts Health Nhs Trust,654947005,Bh:Celbss Breast Screening,Ahp Recharges In,"-36,151.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,17/07/2020,1448080,Wt Partnership,220088305,Tw:Nightingale Ward (Excel),Building Contracts,"75,750.60"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,17/07/2020,1449867,Rfl Dispensary Services Ltd,320084155,Rf:Dispensary Services,Ic Management Service,"67,593.24"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,17/07/2020,1452801,British Red Cross,,Rf:Rfh Facilities Management,Other Non-Clinical Services,"92,527.50"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,17/07/2020,1452897,Metricab Power Engineering Limited,587837570,Rf:Electrical Projects-Backlog,Engineering Contracts,"123,637.07"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,17/07/2020,1457333,Rfl Dispensary Services Ltd,320084155,Rf:Dispensary Services,Ic Management Service,"129,670.60"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,17/07/2020,1460930,Organox Ltd,943672795,Rf:Nors,Med&Surg Equipment Disposable,"28,080.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,17/07/2020,1461127,Rfl Dispensary Services Ltd,320084155,Rf:Pharmacy - Patients Serv.S,Ic Management Service,"66,572.22"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,17/07/2020,1461823,Supply Chain Coordination Ltd (Consumables),290885854,Tw:Balance Sheet,Creditors-Nhs Supplies Service,"61,852.38"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,17/07/2020,1461825,Supply Chain Coordination Ltd (Consumables),290885854,Tw:Balance Sheet,Creditors-Nhs Supplies Service,"102,768.66"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,17/07/2020,1464809,Molnlycke Healthcare Ltd,834868290,Tw:Commercial  Finance,Other Non-Clinical Supplies,"32,726.40"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,17/07/2020,1464814,Ellis Building Services Ltd,259448855,Rf:Covid 19 2na Icu Surge,Engineering Equip & Materials,"56,950.08"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,17/07/2020,1466032,Supply Chain Coordination Ltd (Consumables),290885854,Tw:Balance Sheet,Creditors-Nhs Supplies Service,"84,940.67"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,17/07/2020,1466034,Supply Chain Coordination Ltd (Consumables),290885854,Tw:Balance Sheet,Creditors-Nhs Supplies Service,"97,125.29"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,17/07/2020,1466078,Mbi Healthcare Technologies Ltd,157524303,Tw:Performance Information,Other Non-Clinical Services,"62,400.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,17/07/2020,1466278,Lloydspharmacy Clinical Homecare,222516987,Tw:Balance Sheet,Pharmacy Issues & Receipts,"25,118.20"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,17/07/2020,1466473,Healthcare At Home Ltd,873342418,Tw:Balance Sheet,Pharmacy Issues & Receipts,"26,813.16"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,17/07/2020,1466659,Healthcare At Home Ltd,873342418,Tw:Balance Sheet,Pharmacy Issues & Receipts,"31,888.52"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,17/07/2020,1469597,Nhs Pensions,654434729,Tw:Balance Sheet,Early Retirement > 1 Year,"131,433.78"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,17/07/2020,1469807,Haverstock Healthcare Ltd,215028936,Bh:A&E Med Staff,Agency Other Medical,"82,617.75"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,17/07/2020,1470638,The Anthony Nolan Trust,707042760,Rf:Bmt Medical,Healthcare Voluntary Sector,"67,464.65"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,17/07/2020,1470909,Aah Pharmaceutical Ltd,546573322,Tw:Balance Sheet,Pharmacy Issues & Receipts,"32,349.12"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,17/07/2020,1470911,Aah Pharmaceutical Ltd,546573322,Tw:Balance Sheet,Pharmacy Issues & Receipts,"64,698.24"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,17/07/2020,1471283,Novartis Pharmaceuticals,557290227,Tw:Balance Sheet,Pharmacy Issues & Receipts,"176,392.32"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,17/07/2020,1471507,Shire Pharmaceuticals Ltd,,Tw:Balance Sheet,Pharmacy Issues & Receipts,"154,000.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,17/07/2020,1471561,Alloga Uk,684090520,Tw:Balance Sheet,Pharmacy Issues & Receipts,"27,120.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,17/07/2020,1471562,Alloga Uk,684090520,Tw:Balance Sheet,Pharmacy Issues & Receipts,"27,120.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,17/07/2020,1471568,Alloga Uk,684090520,Tw:Balance Sheet,Pharmacy Issues & Receipts,"71,689.80"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,17/07/2020,1472076,Lloydspharmacy Clinical Homecare,222516987,Tw:Balance Sheet,Pharmacy Issues & Receipts,"55,727.24"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,17/07/2020,1472079,Lloydspharmacy Clinical Homecare,222516987,Tw:Balance Sheet,Pharmacy Issues & Receipts,"25,144.65"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,17/07/2020,1472560,Healthcare At Home Ltd,873342418,Tw:Balance Sheet,Pharmacy Issues & Receipts,"28,760.60"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,17/07/2020,1472834,Pharmaxo Pharmacy Services Ltd,210696424,Tw:Balance Sheet,Pharmacy Issues & Receipts,"31,841.28"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,17/07/2020,1473030,Logan Construction (Se) Ltd,674915890,Rf:Nucmed Enabling Works,Consultancy Fees,"151,320.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,17/07/2020,1473440,Philips Respironics Uk Ltd,407850060,Rf:Thoracic Medicine,Anaesthetic Equip&Accessories,"31,877.76"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,17/07/2020,1473775,Childcare Vouchers Ltd,649503520,Tw:Balance Sheet,Creditors-S&W-Jury Service,"30,582.36"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,17/07/2020,1475287,Bayer Plc,641958611,Tw:Balance Sheet,Pharmacy Issues & Receipts,"36,498.24"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,17/07/2020,1476867,Healthnet Homecare (Uk) Ltd,9279257756,Tw:Balance Sheet,Pharmacy Issues & Receipts,"32,292.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,17/07/2020,1477422,Cuffe Plc,,Rf:Fire Code Funding,Building Contracts,"173,018.84"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,17/07/2020,1477715,Organox Ltd,943672795,Rf:Nors,Med&Surg Equipment Disposable,"28,080.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,17/07/2020,17854,Gilead Sciences Ltd,792402037,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,"54,049.97"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,17/07/2020,3062,Imtech Low Carbon Solutions Ltd,263126326,Tw:Energy & Utilities,Msse Maintenance Contracts,"46,818.20"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,17/07/2020,3135,Cbre Managed Services Ltd,853936883,Tw:Estates Maintenance,Msse Maintenance Contracts,"55,694.59"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/07/2020,1432023,Synergy Health Managed Services Ltd,243829687,Bh:Operations Dir Admin,Bedding & Linen,"52,948.22"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/07/2020,1440709,Ellis Building Services Ltd,259448855,Rf:Mechanical Projects-Backlog,Estates Services Contracts,"115,601.93"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/07/2020,1449783,Change Healthcare Uk Holdings Ltd,174668567,Rf:Diagnostic Cardiology,Msse Maintenance Contracts,"94,948.45"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/07/2020,1449807,Boc Ltd,226556555,Rf:Corona Virus 11south Works,Engineering Equip & Materials,"87,660.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/07/2020,1450117,Synergy Health Managed Services Ltd,243829687,Bh:Operations Dir Admin,Bedding & Linen,"55,584.70"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/07/2020,1457659,Nhs Shared Business Services Ltd,848137212,Tw:Payroll,Other Non-Clinical Services,"54,864.12"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/07/2020,1460860,Corona Energy,577704800,Rf:Energy,Gas,"210,099.34"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/07/2020,1460862,Corona Energy,577704800,Rf:Energy,Gas,"-210,099.34"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/07/2020,1460996,Metier Healthcare Ltd,726536033,Bh:Pfi Project,Consultancy Fees,"3,467,673.38"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,24/07/2020,1464559,Corona Energy,577704800,Rf:Energy,Gas,"175,449.97"
