Dept Family,Organisation Name,Accounting Year,Period,Date,Transaction Number,Supplier,VAT Registration Number,Expense Area,Expense type,Amount
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1413563,Shire Pharmaceuticals Ltd,,Tw:Balance Sheet,Pharmacy Issues & Receipts,"77,000.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1413639,Alloga Uk,684090520,Tw:Balance Sheet,Pharmacy Issues & Receipts,"25,500.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1414361,Pharmaxo Pharmacy Services Ltd,210696424,Tw:Balance Sheet,Pharmacy Issues & Receipts,"32,165.40"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1414374,Pharmaxo Pharmacy Services Ltd,210696424,Tw:Balance Sheet,Pharmacy Issues & Receipts,"31,841.28"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1415709,Royal Free Charity,,Tw:Balance Sheet,Professional Fees-Pp Creditors,"31,643.11"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1415917,Bytes Software Services Ltd,823818226,Tw:Information Man And Tech,Other Non-Clinical Supplies,"99,793.39"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1416117,Ah Engineering Services Ltd,,Rf:Ucl-Maintenance,Engineering Contracts,"132,582.34"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1924,Cuffe Plc,,Ch:Highlands Compliance Works,Ic Building Contracts,"62,935.19"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1926,Compass Contract Services (Uk) Limited,466477701,Tw:Soft Fm Contracts,Cleaning Equipment & Materials,"314,317.67"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1929,Compass Contract Services (Uk) Limited,466477701,Tw:Soft Fm Contracts,Cleaning Equipment & Materials,"182,697.19"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,10/04/2020,1416930,Santa Cruz Biotechnology Inc,DE174312921,Tw: 11454 Kate Walters Pd-Care,Services Uclh Ft Clinical,"-79,977.93"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,14/04/2020,1411967,Sharpsmart Ltd,801449649,Tw:Nightingale Ward (Excel),Refuse Collection-Clinical,"113,716.18"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,14/04/2020,1414924,Sharpsmart Ltd,801449649,Tw:Nightingale Ward (Excel),Building Contracts,"64,370.32"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,14/04/2020,1414946,Sharpsmart Ltd,801449649,Tw:Nightingale Ward (Excel),Building Contracts,"-64,370.32"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,14/04/2020,1414948,Sharpsmart Ltd,801449649,Tw:Nightingale Ward (Excel),Building Contracts,"64,370.32"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,16/04/2020,1419774,Hmrc Cumbernauld,,Tw:Balance Sheet,Creditors - Income Tax,"7,197,001.50"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,16/04/2020,1419776,Hmrc Cumbernauld,,Tw:Balance Sheet,Creditors-Nat Insurance-Ees,"3,423,502.65"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,16/04/2020,1419780,Hmrc Cumbernauld,,Tw:Balance Sheet,Creditors-Nat Insurance-Ees,"4,547,015.92"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,16/04/2020,1957,Hmrc Cumbernauld,,Tw:Balance Sheet-Property Serv,Creditors - Income Tax,"25,578.40"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1098604,Hsl (Fm) Llp,204055358,Bh:Pathology Managed Lab Serv.,Pathology Tests Joint Venture,"26,892.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1330726,Hsl (Fm) Llp,204055358,Bh:General Pathology Barnet,Laboratory Equip Disposable,"38,759.72"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1330727,Hsl (Fm) Llp,204055358,Bh:General Pathology Barnet,Laboratory Equip Disposable,"25,257.90"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1356617,Nhs Blood And Transplant,654961603,Bh:Haematology Barnet,Blood Products,"66,241.86"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,13620,Gilead Sciences Ltd,792402037,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,"30,538.80"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,13628,Janssen-Cilag Ltd,207929448,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,"35,844.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1362978,Turner & Townsend Project Mgt Ltd,764244132,Ch:Main Centre  Chase Farm,Msse Maintenance Repairs,"32,463.91"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,13696,Polar Speed Distribution Ltd,849745765,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,"39,000.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,13700,Polar Speed Distribution Ltd,849745765,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,"27,300.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1372614,Hsl (Fm) Llp,204055358,Rf:General Pathology,Pathology Tests Joint Venture,"33,110.05"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,13756,Alliance Healthcare (Distribution) Ltd,391532058,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,"46,761.79"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1383181,Eddisons Commercial Property Management Ltd,927176015,Th:Tottenham Kcc-Dialysis,Rent,"97,379.03"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1385144,Siemens Financial Services Ltd,222438292,Rf:Itu 3/4,Med&Surg Equipment,"43,442.08"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1392549,Hsl (Fm) Llp,204055358,Rf:General Pathology,Pathology Tests Joint Venture,"32,196.74"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1406489,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"162,985.20"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1406687,Liftec Lifts Ltd,718552130,Rf:Lifts Project - Backlog,Engineering Contracts,"259,051.20"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1406777,Comfort Controls Ltd,814701061,Rf:Corona Virus 11south Works,Engineering Contracts,"117,630.18"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1407200,Fresenius Medical Care (Uk) Ltd,674637108,Tw:Dialysis Machines Ref-334,Med&Surg Equipment,"42,530.40"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1407201,Fresenius Medical Care (Uk) Ltd,674637108,Tw:Dialysis Machines Ref-334,Med&Surg Equipment,"127,591.20"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1407549,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"59,100.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1407550,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"32,100.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1407667,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"59,100.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1407668,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"59,100.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1407669,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"59,100.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1407670,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"59,100.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1407671,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"59,100.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1407688,Philips Healthcare (Surrey),407850060,Rf:48 Anaesthetics Machines,Med&Surg Equipment,"896,225.02"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1407759,Cuffe Plc,,Rf:Fire Code Funding,Building Contracts,"183,877.61"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1407987,Hsl (Fm) Llp,204055358,Bh:Pathology Managed Lab Serv.,Pathology Tests Joint Venture,"25,662.80"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1408133,London Dermatologist Ltd,,Rf:Dermatology,Agency Other Medical,"52,110.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1408137,London Dermatologist Ltd,,Rf:Dermatology,Agency Other Medical,"66,150.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1411661,Logan Construction (Se) Ltd,674915890,Rf:Nucmed Enabling Works,Consultancy Fees,"93,120.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1412020,Hsl (Fm) Llp,204055358,Rf:General Pathology,Pathology Tests Joint Venture,"257,862.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1412022,Hsl (Fm) Llp,204055358,Rf:General Pathology,Pathology Tests Joint Venture,"153,600.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1412033,Hsl (Fm) Llp,204055358,Rf:General Pathology,Pathology Tests Joint Venture,"176,749.20"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1412034,Hsl (Fm) Llp,204055358,Rf:General Pathology,Pathology Tests Joint Venture,"200,833.20"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1412042,Hsl (Fm) Llp,204055358,Rf:General Pathology,Pathology Tests Joint Venture,"123,354.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1412045,Hsl (Fm) Llp,204055358,Rf:General Pathology,Pathology Tests Joint Venture,"407,373.60"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1412106,Bytes Software Services Ltd,823818226,Tw:Information Man And Tech,Other Non-Clinical Supplies,"30,179.02"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1412364,Hsl (Fm) Llp,204055358,Rf:General Pathology,Pathology Tests Joint Venture,"-176,749.20"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1412367,Hsl (Fm) Llp,204055358,Rf:General Pathology,Pathology Tests Joint Venture,"-123,354.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1412371,Hsl (Fm) Llp,204055358,Rf:General Pathology,Pathology Tests Joint Venture,"-407,373.60"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1412372,Hsl (Fm) Llp,204055358,Rf:General Pathology,Pathology Tests Joint Venture,"-200,833.20"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1412373,Hsl (Fm) Llp,204055358,Rf:General Pathology,Pathology Tests Joint Venture,"-257,862.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1413027,Hsl (Fm) Llp,204055358,Bh:Pathology Managed Lab Serv.,Pathology Tests Joint Venture,"30,808.51"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1413031,Cec Healthcare Coding Ltd,215249033,Tw:Clinical Coding,Other Non-Clinical Supplies,"90,567.60"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,17/04/2020,1413141,Aah Pharmaceutical Ltd,546573322,Tw:Balance Sheet,Pharmacy Issues & Receipts,"80,872.80"
